,Name,Team,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,ID,WAR
343,Tyler Duffey,MIN,29,"Houston, TX",USA,,,Rice,,,608648,0.93
1341,Nick Wittgren,CLE,28,"Torrance, CA",USA,,,Purdue,,,621295,0.92
797,Mark Melancon,ATL,35,"Wheat Ridge, CO",USA,,,Arizona,,,453343,0.9199999999999999
355,Sam Dyson,SF,31,"Tampa, FL",USA,,,South Carolina,,,473879,0.9199999999999999
447,Dustin Garneau,HOU,32,"San Pedro, CA",USA,,,Cal State Fullerton,,,572863,0.9099999999999999
1271,Jason Vargas,NYM,37,"Apple Valley, CA",USA,,,Long Beach State,,,450306,0.89
438,Greg Garcia,SD,30,"El Cajon, CA",USA,,,Hawaii,,,594824,0.89
67,Jake Arrieta,PHI,34,"Farmington, MO",USA,,,Texas Christian,,,453562,0.89
454,Cory Gearrin,MIN,34,"Chattanooga, TN",USA,,,Mercer University,,,518715,0.87
641,Tommy Kahnle,NYY,30,"Latham, NY",USA,,,Lynn University,,,592454,0.83
524,David Hale,NYY,32,"Atlanta, GA",USA,,,Princeton,,,571735,0.81
648,Shawn Kelley,TEX,35,"Louisville, KY",USA,,,Austin Peay State,,,518875,0.81
1317,Joey Wendle,TB,29,"Wilmington, DE",USA,,,"West Chester, PA",,,621563,0.81
483,Dee Gordon,SEA,31,"Avon Park, FL",USA,,,"Southeastern, FL",,,543829,0.8
707,Tim Locastro,ARI,27,"Auburn, NY",USA,,,Ithaca,,,641796,0.79
948,Stephen Piscotty,OAK,29,"Pleasanton, CA",USA,,,Stanford,,,572039,0.78
760,Russell Martin,LAD,37,"East York, ON",Canada,,,Chipola Junior College,,,431145,0.78
110,Brandon Belt,SF,31,"Nacogdoches, TX",USA,,,Texas,,,474832,0.78
157,John Brebbia,STL,29,"Sharon, MA",USA,,,Elon,,,605154,0.76
677,Adam Kolarek,LAD,31,"Baltimore, MD",USA,,,Maryland,,,592473,0.75
