,Name,Team,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,ID,WAR
1347,Brandon Woodruff,MIL,27,"Tupelo, MS",USA,34.2576066,-88.7033859,Mississippi State,,,605540,3.34
1080,Aníbal Sánchez,WAS,36,Maracay,Venezuela,10.2441931,-67.60661640000001,,,,434671,3.33
1105,Corey Seager,LAD,25,"Charlotte, NC",USA,35.2270869,-80.8431267,,,,608369,3.3
1256,Trea Turner,WAS,26,"Boynton Beach, FL",USA,26.5317866,-80.0905465,North Carolina State,,,607208,3.3
286,Yu Darvish,CHC,33,Osaka,Japan,34.6937249,135.5022535,,,,506433,3.2800000000000002
114,José Berríos,MIN,25,Bayamon,Puerto Rico,18.389396,-66.1653224,,,,621244,3.25
338,Hunter Dozier,KC,28,"Wichita Falls, TX",USA,33.9137085,-98.4933873,Stephen F. Austin State,,,641531,3.24
1279,Alex Verdugo,BOS,23,"Tucson, AZ",USA,32.2226066,-110.9747108,,,,657077,3.21
1348,Brandon Workman,BOS,31,"Arlington, TX",USA,32.735687,-97.10806559999999,Texas,,,519443,3.18
915,Joc Pederson,LAD,27,"Palo Alto, CA",USA,37.4418834,-122.1430195,,,,592626,3.16
526,Cole Hamels,ATL,36,"San Diego, CA",USA,32.715738,-117.1610838,,,,430935,3.16
184,Byron Buxton,MIN,26,"Baxley, GA",USA,31.7782514,-82.3484618,,,,621439,3.14
860,Kevin Newman,PIT,26,"Poway, CA",USA,32.9628232,-117.0358646,Arizona,,,621028,3.12
1081,Gary Sánchez,NYY,27,Santo Domingo,Dominican Republic,18.4860575,-69.93121169999999,,,,596142,3.12
1239,Gleyber Torres,NYY,23,Caracas,Venezuela,10.4805937,-66.90360629999999,,,,650402,3.12
658,Clayton Kershaw,LAD,32,"Dallas, TX",USA,32.7766642,-96.79698789999999,,,,477132,3.1199999999999997
258,Willson Contreras,CHC,27,Puerto Cabello,Venezuela,10.4697685,-68.02986539999999,,,,575929,3.09
430,Joey Gallo,TEX,26,"Henderson, NV",USA,36.0395247,-114.9817213,,,,608336,3.08
391,Mike Fiers,OAK,34,"Hollywood, FL",USA,26.0112014,-80.1494901,Nova Southeastern,,,571666,3.04
1076,Jeff Samardzija,SF,35,"Merrillville, IN",USA,41.4828144,-87.33281389999999,Notre Dame,,,502188,3.04
420,Max Fried,ATL,26,"Santa Monica, CA",USA,34.0194543,-118.4911912,,,,608331,3.0
1085,Miguel Sanó,MIN,26,San Pedro de Macoris,Dominican Republic,18.46266,-69.3051234,,,,593934,2.99
1300,Christian Walker,ARI,29,"Norristown, PA",USA,40.121497,-75.3399048,South Carolina,,,572233,2.98
190,Lorenzo Cain,MIL,34,"Valdosta, GA",USA,30.8327022,-83.2784851,Tallahassee CC,,,456715,2.97
1359,Kirby Yates,SD,33,"Lihue, HI",USA,21.9811111,-159.3711111,Yavapai College,,,489446,2.96
366,Edwin Encarnación,CWS,37,La Romana,Dominican Republic,18.4338645,-68.9658817,,,,429665,2.9299999999999997
1021,Felipe Rivero,PIT,28,San Felipe,Venezuela,10.3401921,-68.74530639999999,,,,553878,2.91
869,Daniel Norris,DET,26,"Johnson City, TN",USA,36.3134397,-82.3534727,,,,596057,2.9
123,Cavan Biggio,TOR,25,"Houston, TX",USA,29.7604267,-95.3698028,,,,624415,2.89
753,Starling Marte,ARI,31,Santo Domingo,Dominican Republic,18.4860575,-69.93121169999999,,,,516782,2.89
18,Hanser Alberto,BAL,27,San Francisco de Macoris,Dominican Republic,19.2898695,-70.2614719,,,,593643,2.89
176,Aaron Bummer,CWS,26,"Valencia, CA",USA,34.456151,-118.5713823,Nebraska,,,607481,2.88
175,Madison Bumgarner,ARI,30,"Hickory, NC",USA,35.7344538,-81.3444573,,,,518516,2.87
839,Mike Moustakas,CIN,31,"Los Angeles, CA",USA,34.0522342,-118.2436849,,,,519058,2.83
665,Scott Kingery,PHI,25,"Phoenix, AZ",USA,33.4483771,-112.0740373,Arizona,,,664068,2.78
1106,Kyle Seager,SEA,32,"Charlotte, NC",USA,35.2270869,-80.8431267,North Carolina,,,572122,2.78
645,Brad Keller,KC,24,"Flowery Branch, GA",USA,34.1851017,-83.9251809,,,,641745,2.77
43,Brett Anderson,MIL,32,"Midland, TX",USA,31.9973456,-102.0779146,,,,474463,2.76
20,Sandy Alcantara,MIA,24,Azua,Dominican Republic,18.4531742,-70.73468869999999,,,,645261,2.76
1358,Mike Yastrzemski,SF,29,"Andover, MA",USA,42.6583356,-71.1367953,,,,573262,2.75
1001,Hunter Renfroe,TB,28,"Crystal Springs, MS",USA,31.987378,-90.35703529999999,Mississippi State,,,592669,2.71
207,Nick Castellanos,CIN,28,"Davie, FL",USA,26.0764783,-80.25211569999999,,,,592206,2.6799999999999997
846,Tom Murphy,SEA,29,"West Monroe, NY",USA,43.2809023,-76.066588,SUNY Buffalo,,,608596,2.66
108,Josh Bell,PIT,27,"Irving, TX",USA,32.8140177,-96.9488945,,,,605137,2.66
522,Josh Hader,MIL,26,"Millersville, MD",USA,39.0574783,-76.64858219999999,,,,623352,2.64
720,Brandon Lowe,TB,25,"Newport News, VA",USA,37.0870821,-76.4730122,,,,664040,2.63
1153,Eric Sogard,MIL,33,"Phoenix, AZ",USA,33.4483771,-112.0740373,Arizona State,,,519299,2.5999999999999996
733,Manny Machado,SD,27,"Miami, FL",USA,25.7616798,-80.1917902,,,,592518,2.59
432,Freddy Galvis,CIN,30,Punto Fijo,Venezuela,11.711511,-70.1813018,,,,520471,2.58
1027,Hansel Robles,LAA,29,Bonao,Dominican Republic,18.9322174,-70.40899240000002,,,,570663,2.57
206,Andrew Cashner,BOS,33,"Conroe, TX",USA,30.3118769,-95.45605119999999,Texas Christian,,,488768,2.56
287,Zach Davies,SD,27,"Puyallup, WA",USA,47.1853785,-122.2928974,,,,605200,2.54
710,Evan Longoria,SF,34,"Downey, CA",USA,33.9401088,-118.1331593,Long Beach State,,,446334,2.53
884,Shohei Ohtani,LAA,25,Oshu,Japan,39.1444106,141.1392153,,,,660271,2.53
655,Howie Kendrick,WAS,36,"Jacksonville, FL",USA,30.3321838,-81.65565099999999,St. Johns River State College,,,435062,2.53
803,Oscar Mercado,CLE,25,Cartagena,Colombia,10.3932277,-75.4832311,,,,640458,2.52
1043,Taylor Rogers,MIN,29,"Littleton, CO",USA,39.613321,-105.0166498,Kentucky,,,573124,2.51
767,Steven Matz,NYM,28,"Stony Brook, NY",USA,40.9256538,-73.1409429,,,,571927,2.5
1210,Noah Syndergaard,NYM,27,"Mansfield, TX",USA,32.5631924,-97.1416768,,,,592789,2.5
465,Tyler Glasnow,TB,26,"Newhall, CA",USA,34.373361,-118.5400404,,,,607192,2.5
165,Zack Britton,NYY,32,"Panorama City, CA",USA,34.227617,-118.442425,,,,502154,2.47
177,Dylan Bundy,LAA,27,"Tulsa, OK",USA,36.1539816,-95.99277500000001,,,,605164,2.47
1222,Julio Teheran,LAA,29,Cartagena,Colombia,10.3932277,-75.4832311,,,,527054,2.47
309,Anthony DeSclafani,CIN,29,"Freehold, NJ",USA,40.2136754,-74.3000878,Florida,,,543101,2.46
460,Ken Giles,TOR,29,"Albuquerque, NM",USA,35.0843859,-106.650422,Yavapai College,,,571704,2.45
429,Zac Gallen,ARI,24,"Gibbsboro, NJ",USA,39.8381698,-74.9648887,,,,668678,2.45
488,Yasmani Grandal,CWS,31,Havana,Cuba,23.1135925,-82.3665956,Miami (FL),,,518735,2.44
468,Paul Goldschmidt,STL,32,"Wilmington, DE",USA,39.744655,-75.5483909,Texas State,,,502671,2.43
822,Frankie Montas,OAK,27,Sainagua,Dominican Republic,18.3856213,-70.1143228,,,,593423,2.4299999999999997
821,Adalberto Mondesi,KC,24,"Los Angeles, CA",USA,34.0522342,-118.2436849,,,,609275,2.39
1055,Amed Rosario,NYM,24,Santo Domingo Centro,Dominican Republic,18.4860575,-69.93121169999999,,,,642708,2.39
661,Kevin Kiermaier,TB,29,"Fort Wayne, IN",USA,41.079273,-85.1393513,Parkland College,,,595281,2.38
876,Scott Oberg,COL,30,"Tewksbury, MA",USA,42.6106478,-71.23422479999999,Connecticut,,,623184,2.3600000000000003
945,Michael Pineda,MIN,31,Yaguate,Dominican Republic,18.3360102,-70.1798134,,,,501381,2.3600000000000003
728,Seth Lugo,NYM,30,"Shreveport, LA",USA,32.5251516,-93.7501789,,,,607625,2.36
717,Michael Lorenzen,CIN,28,"Anaheim, CA",USA,33.8365932,-117.9143012,Cal State Fullerton,,,547179,2.36
1075,Chris Sale,BOS,31,"Lakeland, FL",USA,28.0394654,-81.9498042,Florida Gulf Coast,,,519242,2.35
191,Kole Calhoun,ARI,32,"Buckeye, AZ",USA,33.3703197,-112.5837766,Arizona State,,,594777,2.35
909,James Paxton,NYY,31,"Ladner, BC",Canada,49.0900961,-123.0819988,Kentucky,,,572020,2.32
