,Unnamed: 0,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Height (in),Ability Score
84,84,Thomas Bryant,22,"Rochester, NY",USA,,,Indiana University,39.1754487,-86.512627,"6'10""",19.3
85,85,Reggie Bullock,29,"Baltimore, MD",USA,,,University of North Carolina,35.9049122,-79.0469134,"6'6""",18.0
86,86,Reggie Bullock,29,"Baltimore, MD",USA,,,University of North Carolina,35.9049122,-79.0469134,"6'6""",14.2
87,87,Trey Burke,27,"Columbus, OH",USA,,,University of Michigan,42.2780436,-83.7382241,"6'0""",17.200000000000006
88,88,Trey Burke,27,"Columbus, OH",USA,,,University of Michigan,42.2780436,-83.7382241,"6'0""",14.4
89,89,Alec Burks,28,"Grandview, MO",USA,,,University of Colorado,40.00758099999999,-105.2659417,"6'6""",11.8
90,90,Alec Burks,28,"Grandview, MO",USA,,,University of Colorado,40.00758099999999,-105.2659417,"6'6""",21.2
91,91,Alec Burks,28,"Grandview, MO",USA,,,University of Colorado,40.00758099999999,-105.2659417,"6'6""",4.9
93,93,Jimmy Butler,30,"Houston, TX",USA,,,Marquette University,43.0388337,-87.92856669999999,"6'7""",34.1
94,94,Jimmy Butler,30,"Houston, TX",USA,,,Marquette University,43.0388337,-87.92856669999999,"6'7""",29.8
97,97,Kentavious Caldwell-Pope,27,"Thomaston, GA",USA,,,University of Georgia,33.9480053,-83.3773221,"6'5""",16.7
98,98,Isaiah Canaan,28,"Biloxi, MS",USA,,,Murray State University,36.6163842,-88.3214979,"6'0""",13.999999999999998
99,99,Isaiah Canaan,28,"Biloxi, MS",USA,,,Murray State University,36.6163842,-88.3214979,"6'0""",8.500000000000002
100,100,Isaiah Canaan,28,"Biloxi, MS",USA,,,Murray State University,36.6163842,-88.3214979,"6'0""",3.5
102,102,DeMarre Carroll,33,"Birmingham, AL",USA,,,University of Missouri,38.9403808,-92.32773750000001,"6'6""",18.1
