,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Height (in),Points/Game,Assists/Game,Steals/Game,Rebounds/Game,Blocks/Game,Ability Score
46,Marco Belinelli,34,Bologna,Italy,,,,,,"6'5""",10.5,1.7,0.4,2.5,0.1,15.2
47,Jordan Bell,25,"Los Angeles, CA",USA,,,University of Oregon,,,"6'8""",3.3,1.1,0.3,2.7,0.8,8.2
48,DeAndre' Bembry,25,"Charlotte, NC",USA,,,Saint Joseph's University,,,"6'5""",8.4,2.5,1.3,4.4,0.5,17.1
49,Dragan Bender,22,Capljina,Croatia,,,,,,"7'0""",5.0,1.2,0.4,4.0,0.5,11.1
50,Dairis Bertans,30,,,,,,,,"6'4""",2.8,0.8,0.1,0.8,0.0,4.499999999999999
51,Davis Bertans,27,Valmiera,Latvia,,,,,,"6'10""",8.0,1.3,0.5,3.5,0.4,13.700000000000001
52,Patrick Beverley,31,"Chicago, IL",USA,,,University of Arkansas,,,"6'1""",7.6,3.9,0.9,5.0,0.6,18.0
53,Khem Birch,27,Montreal,Canada,,,"University of Nevada, Las Vegas",,,"6'9""",4.8,0.8,0.4,3.8,0.6,10.4
54,Bismack Biyombo,27,Lubumbashi,Democratic Republic of the Congo,,,,,,"6'8""",4.4,0.6,0.2,4.6,0.8,10.6
55,Nemanja Bjelica,31,Belgrade,Serbia,,,,,,"6'10""",9.6,1.9,0.7,5.8,0.7,18.699999999999996
56,Antonio Blakeney,23,"Watertown, NY",USA,,,Louisiana State University,,,"6'4""",7.3,0.7,0.2,1.9,0.2,10.299999999999997
57,Eric Bledsoe,30,"Birmingham, AL",USA,,,University of Kentucky,,,"6'1""",15.9,5.5,1.5,4.7,0.4,28.0
58,Jaron Blossomgame,26,"Alpharetta, GA",USA,,,,,,"6'6""",4.2,0.5,0.3,3.6,0.3,8.900000000000002
59,Bogdan Bogdanovic,27,Belgrade,Serbia,,,,,,"6'6""",14.1,3.8,1.0,3.5,0.2,22.6
60,Bojan Bogdanovic,31,Mostar,Croatia,,,,,,"6'8""",18.0,2.0,0.9,4.1,0.0,25.0
61,Andrew Bogut,35,Melbourne,Australia,,,University of Utah,,,,3.5,1.0,0.3,5.0,0.7,10.5
62,Jonah Bolden,24,Melbourne,Australia,,,,,,"6'8""",4.7,0.9,0.4,3.8,0.9,10.700000000000001
63,Isaac Bonga,20,Neuwied,Germany,,,,,,"6'8""",0.9,0.7,0.4,1.1,0.2,3.3000000000000003
64,Devin Booker,23,"Grand Rapids, MI",USA,,,University of Kentucky,,,"6'5""",26.6,6.8,0.9,4.1,0.2,38.6
65,Chris Boucher,27,Castries,Canada,,,University of Oregon,,,"6'9""",3.3,0.1,0.2,2.0,0.9,6.5
66,Avery Bradley,29,"Tacoma, WA",USA,,,University of Texas at Austin,,,"6'3""",8.2,2.0,0.6,2.7,0.3,13.799999999999999
67,Avery Bradley,29,"Tacoma, WA",USA,,,University of Texas at Austin,,,"6'3""",16.1,4.0,1.0,3.2,0.0,24.3
68,Tony Bradley,22,"Bartow, FL",USA,,,University of North Carolina,,,"6'10""",5.7,0.3,0.7,5.0,0.7,12.399999999999999
69,Corey Brewer,34,"Portland, TN",USA,,,University of Florida,,,"6'9""",7.6,1.4,1.7,2.4,0.3,13.4
70,Corey Brewer,34,"Portland, TN",USA,,,University of Florida,,,"6'9""",4.1,1.2,0.8,2.5,0.2,8.799999999999999
71,Mikal Bridges,23,"Philadelphia, PA",USA,,,,,,"6'6""",8.3,2.1,1.5,3.2,0.5,15.6
72,Miles Bridges,22,"Flint, MI",USA,,,,,,"6'6""",7.5,1.2,0.7,4.1,0.6,14.099999999999998
73,Isaiah Briscoe,24,"Newark, NJ",USA,,,,,,"6'3""",3.5,2.2,0.3,1.9,0.1,8.0
74,Ryan Broekhoff,29,Melbourne,Australia,,,,,,"6'6""",4.0,0.5,0.1,1.5,0.1,6.199999999999999
75,Malcolm Brogdon,27,"Atlanta, GA",USA,,,University of Virginia,,,"6'5""",15.6,3.2,0.7,4.5,0.2,24.2
76,Dillon Brooks,24,Mississauga,Canada,,,University of Oregon,,,"6'7""",7.5,0.9,0.6,1.7,0.2,10.899999999999999
77,MarShon Brooks,31,"Long Branch, NJ",USA,,,,,,"6'5""",6.6,0.9,0.3,1.6,0.1,9.5
78,Bruce Brown,23,"Boston, MA",USA,,,,,,"6'4""",4.3,1.2,0.5,2.5,0.5,9.0
79,Jaylen Brown,23,"Marietta, GA",USA,,,University of California,,,"6'6""",13.0,1.4,0.9,4.2,0.4,19.899999999999995
80,Lorenzo Brown,29,"Roswell, GA",USA,,,North Carolina State University,,,"6'5""",2.1,1.1,0.5,1.2,0.2,5.1000000000000005
81,Sterling Brown,25,"Maywood, IL",USA,,,Southern Methodist University,,,"6'5""",6.4,1.4,0.4,3.2,0.1,11.500000000000002
82,Troy Brown Jr.,20,"Las Vegas, NV",USA,,,,,,"6'6""",4.8,1.5,0.4,2.8,0.1,9.6
83,Jalen Brunson,23,"Lincolnshire, IL",USA,,,,,,"6'1""",9.3,3.2,0.5,2.3,0.1,15.4
84,Thomas Bryant,22,"Rochester, NY",USA,,,Indiana University,,,"6'10""",10.5,1.3,0.3,6.3,0.9,19.3
85,Reggie Bullock,29,"Baltimore, MD",USA,,,University of North Carolina,,,"6'6""",12.1,2.5,0.5,2.8,0.1,18.0
86,Reggie Bullock,29,"Baltimore, MD",USA,,,University of North Carolina,,,"6'6""",9.3,1.1,0.8,2.6,0.4,14.200000000000001
87,Trey Burke,27,"Columbus, OH",USA,,,University of Michigan,,,"6'0""",11.8,2.8,0.6,1.8,0.2,17.200000000000003
88,Trey Burke,27,"Columbus, OH",USA,,,University of Michigan,,,"6'0""",9.7,2.6,0.5,1.5,0.1,14.399999999999999
89,Alec Burks,28,"Grandview, MO",USA,,,University of Colorado,,,"6'6""",8.4,1.2,0.4,1.6,0.2,11.799999999999999
90,Alec Burks,28,"Grandview, MO",USA,,,University of Colorado,,,"6'6""",11.6,2.9,0.7,5.5,0.5,21.2
91,Alec Burks,28,"Grandview, MO",USA,,,University of Colorado,,,"6'6""",1.7,0.8,0.6,1.7,0.1,4.8999999999999995
92,Deonte Burton,28,"Milwaukee, WI",USA,,,,,,"6'1""",2.6,0.3,0.2,0.9,0.2,4.2
93,Jimmy Butler,30,"Houston, TX",USA,,,Marquette University,,,"6'7""",21.3,4.3,2.4,5.2,0.9,34.1
94,Jimmy Butler,30,"Houston, TX",USA,,,Marquette University,,,"6'7""",18.2,4.0,1.8,5.3,0.5,29.8
95,Bruno Caboclo,24,Osasco,Brazil,,,,,,"6'9""",8.3,1.5,0.4,4.6,1.0,15.8
