,Name,Age,Position,Points
203,Josh Currie,27,RW,5
204,Austin Czarnik,27,C,18
206,Evgenii Dadonov,31,RW,71
207,Rasmus Dahlin,20,D,45
208,Carl Dahlstrom,25,D,6
209,Michael Dal Colle,23,LW,7
210,Trevor Daley,36,D,8
211,Zac Dalpe,30,C,1
212,Phillip Danault,27,C,53
213,Marko Dano,25,C,0
215,Laurent Dauphin,25,C,0
216,Brandon Davidson,28,D,1
217,Jean-Sebastien Dea,26,C,5
218,Jean-Sebastien Dea,26,C,1
219,Tony DeAngelo,24,D,30
220,Alex DeBrincat,22,LW,77
221,Jake DeBrusk,23,LW,42
222,Calvin de Haan,28,D,14
223,Danny DeKeyser,30,D,20
224,Jacob de la Rose,24,C,9
225,Chase De Leo,24,C,0
228,Michael Del Zotto,29,D,4
229,Michael Del Zotto,29,D,3
230,Michael Del Zotto,29,D,3
231,Dylan DeMelo,26,D,22
232,Jason Demers,31,D,8
234,Travis Dermott,23,D,17
235,Nicolas Deslauriers,29,LW,5
237,Jason Dickinson,24,C,22
238,Phillip Di Giuseppe,26,LW,4
239,Phillip Di Giuseppe,26,LW,0
240,Brenden Dillon,29,D,23
242,Christian Djoos,25,D,10
243,Max Domi,25,C,72
245,Ryan Donato,24,C,9
246,Ryan Donato,24,C,16
247,Matt Donovan,29,D,1
248,Joonas Donskoi,28,RW,39
249,Jake Dotchin,26,D,1
250,Drew Doughty,30,D,45
251,Nic Dowd,29,C,22
252,Justin Dowling,29,C,1
253,Leon Draisaitl,24,C,106
254,Sheldon Dries,25,C,6
255,Jonathan Drouin,25,LW,53
256,Dillon Dube,21,C,5
257,Brandon Dubinsky,33,C,14
259,Pierre-Luc Dubois,21,LW,61
260,Matt Duchene,29,C,58
261,Matt Duchene,29,C,12
262,Anthony Duclair,24,LW,19
263,Anthony Duclair,24,LW,15
264,Matt Dumba,25,D,22
265,Brian Dumoulin,28,D,23
266,Vince Dunn,23,D,36
267,Christian Dvorak,24,C,7
268,Ryan Dzingel,28,C,44
269,Ryan Dzingel,28,C,13
270,Cody Eakin,28,C,42
271,Patrick Eaves,35,RW,0
272,Jordan Eberle,29,RW,37
273,Alexander Edler,33,D,34
274,Joel Edmundson,26,D,11
275,Nikolaj Ehlers,24,LW,40
276,Christoffer Ehn,24,C,9
277,Jack Eichel,23,C,87
278,Aaron Ekblad,24,D,37
279,Mattias Ekholm,29,D,45
280,Oliver Ekman-Larsson,28,D,44
281,Remi Elie,25,LW,1
282,Lars Eller,30,C,36
284,Stefan Elliott,29,D,1
285,Ryan Ellis,29,D,41
286,Deryk Engelland,38,D,13
287,Andreas Englund,24,D,0
288,Tyler Ennis,30,LW,18
289,Jonathan Ericsson,36,D,5
290,Loui Eriksson,34,LW,29
291,Joel Eriksson Ek,23,C,14
292,Adam Erne,24,LW,20
293,Robby Fabbri,24,C,7
294,Dante Fabbro,21,D,1
295,Radek Faksa,26,C,30
296,Justin Falk,31,D,0
297,Oscar Fantenberg,28,D,3
298,Oscar Fantenberg,28,D,1
299,Jesper Fast,28,RW,20
300,Justin Faulk,28,D,36
301,Taylor Fedun,31,D,11
302,Eric Fehr,34,C,15
303,Micheal Ferland,27,LW,40
304,Kevin Fiala,23,LW,32
305,Kevin Fiala,23,LW,7
306,Valtteri Filppula,36,C,31
307,Christian Fischer,23,RW,18
308,Haydn Fleury,23,D,1
310,Warren Foegele,24,LW,16
311,Steven Fogarty,26,C,0
312,Marcus Foligno,28,LW,19
313,Nick Foligno,32,LW,36
314,Christian Folin,29,D,2
315,Christian Folin,29,D,4
316,Derek Forbort,28,D,14
317,Alex Formenton,20,LW,1
318,Jakob Forsbacka-Karlsson,23,C,9
319,Filip Forsberg,25,LW,50
320,Gustav Forsling,23,D,9
321,Alexandre Fortin,23,LW,6
322,Cam Fowler,28,D,25
324,Trent Frederic,22,C,0
325,Mark Friedman,24,D,0
326,Tanner Fritz,28,C,1
327,Martin Frk,26,RW,6
328,Michael Frolik,32,RW,34
330,Kurtis Gabriel,26,RW,4
331,Sam Gagner,30,C,3
332,Sam Gagner,30,C,10
333,Alex Galchenyuk,26,C,41
334,Brendan Gallagher,27,RW,52
335,Joseph Gambardella,26,C,3
336,Dylan Gambrell,23,C,0
337,Jake Gardiner,29,D,30
338,Conor Garland,24,RW,18
339,Jason Garrison,35,D,1
340,Adam Gaudette,23,C,12
341,Frederick Gaudreau,26,C,4
342,Johnny Gaudreau,26,LW,102
343,Brendan Gaunce,27,C,3
344,Cameron Gaunce,30,D,0
345,Frederik Gauthier,24,C,14
347,Timothy Gettinger,22,LW,0
348,Ryan Getzlaf,34,C,48
349,Brian Gibbons,32,LW,5
350,Brian Gibbons,32,LW,14
353,Brandon Gignac,22,C,0
354,Dennis Gilbert,23,C,0
355,John Gilmour,26,D,0
356,Stephen Gionta,36,C,0
357,Mark Giordano,36,D,74
358,Samuel Girard,21,D,27
359,Daniel Girardi,35,D,16
360,Zemgus Girgensons,26,C,18
361,Claude Giroux,32,C,90
362,Ben Gleason,22,D,1
363,Luke Glendening,30,C,23
364,Nikolay Goldobin,24,RW,27
365,Alex Goligoski,34,D,27
366,Cody Goloubef,30,D,0
367,Barclay Goodrow,27,RW,20
368,Shayne Gostisbehere,26,D,38
369,Tyrell Goulbourne,26,LW,0
370,Yanni Gourde,28,C,48
371,Michael Grabner,32,RW,16
372,Markus Granlund,27,C,22
373,Mikael Granlund,28,C,49
374,Mikael Granlund,28,C,5
375,Derek Grant,29,C,5
376,Derek Grant,29,C,10
377,Kevin Gravel,28,D,3
378,Ryan Graves,24,D,5
379,Anthony Greco,26,RW,0
380,Mike Green,34,D,26
381,Andy Greene,37,D,26
382,Jordan Greenway,23,LW,24
383,Anthony-John Greer,23,LW,2
385,Rocco Grimaldi,27,C,14
387,Carl Grundstrom,22,RW,8
388,Eric Gryba,32,D,0
389,Matt Grzelcyk,26,D,18
390,Radko Gudas,29,D,20
391,Erik Gudbranson,28,D,8
392,Erik Gudbranson,28,D,2
393,Jake Guentzel,25,LW,77
394,Brendan Guhle,22,D,0
395,Brendan Guhle,22,D,1
396,Carl Gunnarsson,33,D,7
397,Denis Gurianov,22,RW,4
398,Erik Gustafsson,28,D,61
399,Carl Hagelin,31,LW,3
400,Carl Hagelin,31,LW,5
401,Carl Hagelin,31,LW,11
402,Robert Hagg,25,D,20
403,Ron Hainsey,39,D,23
404,Libor Hajek,22,D,1
406,Micheal Haley,34,C,3
407,Micheal Haley,34,C,3
408,Taylor Hall,28,LW,37
409,Dan Hamhuis,37,D,5
410,Dougie Hamilton,26,D,40
411,Travis Hamonic,29,D,21
412,Noah Hanifin,23,D,34
413,Joel Hanley,28,D,0
414,Markus Hannikainen,27,LW,7
415,Martin Hanzal,33,C,2
416,Ben Harpur,25,D,5
417,Scott Harrington,27,D,17
419,Ryan Hartman,25,RW,20
420,Ryan Hartman,25,RW,7
421,Garnet Hathaway,28,RW,20
422,Erik Haula,29,C,7
423,Jayce Hawryluk,24,C,12
424,John Hayden,25,RW,5
425,Kevin Hayes,27,RW,42
426,Kevin Hayes,27,RW,12
427,Dillon Heatherington,24,D,1
428,Victor Hedman,29,D,54
429,Tim Heed,29,D,13
430,Danton Heinen,24,C,34
431,Miro Heiskanen,20,D,33
433,Darren Helm,33,LW,17
434,Matt Hendricks,38,RW,2
435,Matt Hendricks,38,RW,1
436,Adam Henrique,30,C,42
437,Tomas Hertl,26,C,75
438,Joe Hicketts,23,D,0
439,Thomas Hickey,31,D,4
441,Vinnie Hinostroza,26,C,39
442,Roope Hintz,23,LW,22
443,Taro Hirose,23,LW,8
444,Nico Hischier,21,C,48
445,Niklas Hjalmarsson,32,D,10
446,Mike Hoffman,30,LW,71
