name_common,age,mlb_ID,player_ID,year_ID,team_ID,stint_ID,lg_ID,PA,G,Inn,runs_bat,runs_br,runs_dp,runs_field,runs_infield,runs_outfield,runs_catcher,runs_good_plays,runs_defense,runs_position,runs_position_p,runs_replacement,runs_above_rep,runs_above_avg,runs_above_avg_off,runs_above_avg_def,WAA,WAA_off,WAA_def,WAR,WAR_def,WAR_off,WAR_rep,salary,pitcher,teamRpG,oppRpG,oppRpPA_rep,oppRpG_rep,pyth_exponent,pyth_exponent_rep,waa_win_perc,waa_win_perc_off,waa_win_perc_def,waa_win_perc_rep,OPS_plus,TOB_lg,TB_lg
Anthony Banda,24,607455,bandaan01,2018,TBR,1,AL,0,0,14.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,4.57865,0.08136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
Jett Bandy,28,542908,bandyje01,2018,MIL,1,NL,71,24,169.7,-4.87,0.07,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,1.26,0.00,2.31,-2.2,-4.5,-3.5,0.3,-0.52,-0.39,0.01,-0.29,0.01,-0.16,0.23,550700,N,4.17587,4.32337,0.07868,4.22722,1.840,1.843,0.4796,0.4840,0.5012,0.4896,44.3417,23.394,26.931
Johnny Barbato,25,592127,barbajo01,2018,DET,1,AL,0,1,6.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,548600,Y,4.57865,4.57865,0.08136,4.57865,1.880,1.880,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Luke Bard,27,572703,bardlu01,2018,LAA,1,AL,0,0,11.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,545000,Y,NULL,4.57865,0.08136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
Scott Barlow,25,605130,barlosc01,2018,KCR,1,AL,0,0,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,650000,Y,NULL,4.57865,0.08136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
Austin Barnes,28,605131,barneau01,2018,LAD,1,NL,238,100,497.0,-5.82,-0.57,-0.27,0.00,0.00,0.00,-1.00,3.00,2.00,4.13,0.00,7.74,7.2,-0.5,-2.5,6.1,-0.15,-0.32,0.57,0.61,0.57,0.44,0.76,555000,N,4.29807,4.32337,0.07868,4.24602,1.848,1.845,0.4994,0.4973,0.5065,0.4917,71.6832,76.835,82.660
Brandon Barnes,32,488681,barnebr02,2018,CLE,1,AL,21,19,60.3,-0.03,-0.09,-0.21,0.00,0.00,0.00,0.00,0.00,0.00,-0.31,0.00,0.75,0.1,-0.6,-0.6,-0.3,-0.06,-0.07,-0.01,0.01,-0.01,0.00,0.07,NULL,N,4.54496,4.57865,0.08136,4.53905,1.878,1.877,0.4965,0.4965,0.4983,0.4959,103.0717,6.775,8.020
Danny Barnes,28,592130,barneda02,2018,TOR,1,AL,0,3,41.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,561600,Y,4.57865,4.57865,0.08136,4.57865,1.880,1.880,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Jacob Barnes,28,606930,barneja01,2018,MIL,1,NL,0,46,48.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,-0.04,0.00,-0.04,0.00,0.00,558900,Y,4.32337,4.32337,0.07868,4.32337,1.849,1.849,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Matt Barnes,28,598264,barnema01,2018,BOS,1,AL,0,4,61.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,605000,Y,4.57865,4.57865,0.08136,4.57865,1.880,1.880,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Tony Barnette,34,501817,barneto01,2018,TEX,1,AL,0,1,26.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1500000,Y,4.57865,4.57865,0.08136,4.57865,1.880,1.880,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Tucker Barnhart,27,571466,barnhtu01,2018,CIN,1,NL,522,138,1046.0,-8.53,-4.16,-1.49,-3.00,1.00,0.00,-4.00,7.00,1.00,7.25,0.00,16.97,11.0,-5.9,-6.9,8.3,-0.82,-0.85,0.77,0.86,0.77,0.83,1.68,4437500,N,4.27315,4.32337,0.07868,4.20043,1.846,1.842,0.4954,0.4946,0.5064,0.4867,87.7504,171.010,193.568
Steven Baron,27,571467,baronst01,2018,STL,1,NL,5,2,10.0,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.16,-0.4,-0.5,-0.5,0.1,-0.06,-0.06,0.01,-0.04,0.01,-0.04,0.02,NULL,N,4.06837,4.32337,0.07868,4.24212,1.834,1.844,0.4722,0.4722,0.5043,0.4913,10.5487,1.614,2.058
Kyle Barraclough,28,607457,barraky01,2018,MIA,1,NL,0,56,55.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,-0.04,0.00,-0.04,0.00,0.00,1113000,Y,4.32337,4.32337,0.07868,4.32337,1.849,1.849,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Franklin Barreto,22,620439,barrefr02,2018,OAK,1,AL,75,32,184.0,-0.75,-0.77,-0.44,0.00,-1.00,0.00,0.00,0.00,-1.00,0.54,0.00,2.69,0.3,-2.4,-1.4,-0.5,-0.22,-0.13,-0.01,0.04,-0.01,0.13,0.26,NULL,N,4.53427,4.57865,0.08136,4.49467,1.877,1.875,0.4922,0.4954,0.4985,0.4913,100.4624,23.610,30.003
Jake Barrett,26,545332,barreja01,2018,ARI,1,NL,0,7,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,-0.01,0.00,-0.01,0.00,0.00,NULL,Y,4.32337,4.32337,0.07868,4.32337,1.849,1.849,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Jaime Barria,21,642545,barrija01,2018,LAA,1,AL,5,2,129.3,-1.35,-0.01,-0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.77,0.00,-0.8,-0.8,-0.8,0.0,-0.08,-0.08,0.00,-0.08,0.00,-0.08,0.00,NULL,Y,4.18365,4.57865,0.08136,4.48907,1.856,1.875,0.4582,0.4582,0.5005,0.4907,-100.0000,1.581,2.064
