name_common,age,mlb_ID,player_ID,year_ID,team_ID,stint_ID,lg_ID,PA,G,Inn,runs_bat,runs_br,runs_dp,runs_field,runs_infield,runs_outfield,runs_catcher,runs_good_plays,runs_defense,runs_position,runs_position_p,runs_replacement,runs_above_rep,runs_above_avg,runs_above_avg_off,runs_above_avg_def,WAA,WAA_off,WAA_def,WAR,WAR_def,WAR_off,WAR_rep,salary,pitcher,teamRpG,oppRpG,oppRpPA_rep,oppRpG_rep,pyth_exponent,pyth_exponent_rep,waa_win_perc,waa_win_perc_off,waa_win_perc_def,waa_win_perc_rep,OPS_plus,TOB_lg,TB_lg
Fernando Abad,33,472551,abadfe01,2019,SFG,1,NL,0,18,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,-0.02,0.00,-0.02,0.00,0.00,100000,Y,4.72014,4.72014,0.08805,4.72014,1.896,1.896,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Bryan Abreu,22,650556,abreubr01,2019,HOU,1,AL,0,0,8.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,4.95606,0.09007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
Jose Abreu,32,547989,abreujo02,2019,CHW,1,AL,693,159,1409.7,16.44,-1.81,-2.00,-8.00,0.00,0.00,0.00,0.00,-8.00,-10.05,0.00,24.25,18.8,-5.4,2.6,-18.1,-0.27,0.35,-1.55,2.04,-1.55,2.66,2.31,16000000,N,4.97228,4.95606,0.09007,4.80356,1.924,1.914,0.4967,0.5016,0.4890,0.4850,119.3719,221.275,275.283
Ronald Acuna Jr.,21,660670,acunaro01,2019,ATL,1,NL,715,156,1364.0,24.20,5.18,-0.09,3.00,0.00,5.00,0.00,3.00,11.00,-0.80,0.00,21.23,60.7,39.5,28.5,10.2,3.63,2.72,0.88,5.70,0.88,4.79,2.07,560000,N,4.90277,4.72014,0.08805,4.58407,1.907,1.888,0.5252,0.5181,0.5066,0.4862,122.0073,240.229,284.767
Cristhian Adames,27,542436,adamecr01,2019,SFG,1,NL,24,10,46.0,0.01,0.30,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.16,0.00,0.78,2.3,1.5,0.5,1.2,0.14,0.05,0.11,0.22,0.11,0.13,0.08,NULL,N,4.76714,4.72014,0.08805,4.64214,1.899,1.892,0.5148,0.5047,0.5117,0.4921,100.1371,7.747,9.528
Willy Adames,23,642715,adamewi01,2019,TBR,1,AL,584,152,1314.7,-2.19,2.00,1.19,9.00,1.00,0.00,0.00,2.00,12.00,7.89,0.00,20.93,41.8,20.9,8.9,19.9,2.23,0.93,2.12,4.21,2.12,2.91,1.98,562400,N,5.01454,4.95606,0.09007,4.81839,1.926,1.915,0.5133,0.5056,0.5127,0.4865,95.4717,185.513,230.560
Jason Adam,27,592094,adamja01,2019,TOR,1,AL,0,3,21.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,Y,4.95606,4.95606,0.09007,4.95606,1.923,1.923,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Austin Adams,32,542866,adamsau01,2019,DET,2,AL,0,1,14.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,Y,4.95606,4.95606,0.09007,4.95606,1.923,1.923,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Austin Adams,32,542866,adamsau01,2019,MIN,1,AL,0,0,2.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,4.95606,0.09007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
Austin Adams,28,613534,adamsau02,2019,SEA,2,AL,1,3,31.0,-0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,-0.1,-0.1,-0.1,0.0,-0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,NULL,Y,4.91606,4.95606,0.09007,4.94411,1.920,1.922,0.4961,0.4961,0.5000,0.4988,-100.0000,0.314,0.426
Austin Adams,28,613534,adamsau02,2019,WSN,1,NL,0,1,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,Y,4.72014,4.72014,0.08805,4.72014,1.896,1.896,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Chance Adams,24,664856,adamsch01,2019,NYY,1,AL,0,0,25.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,556725,Y,NULL,4.95606,0.09007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
Matt Adams,30,571431,adamsma01,2019,WSN,1,NL,333,111,610.3,-8.65,0.13,0.13,5.00,-1.00,0.00,0.00,0.00,4.00,-3.68,0.00,10.82,2.8,-8.1,-12.1,0.3,-0.96,-1.26,-0.08,0.10,-0.08,-0.20,1.06,3000000,N,4.61140,4.72014,0.08805,4.62264,1.890,1.891,0.4926,0.4890,0.5003,0.4901,83.2589,112.787,141.608
Jim Adduci,34,451192,adducji02,2019,CHC,1,NL,5,2,8.0,-1.46,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,-0.03,0.00,0.16,-0.3,-0.5,-1.5,1.0,-0.05,-0.16,0.10,-0.03,0.10,-0.14,0.02,NULL,N,3.97514,4.72014,0.08805,4.63889,1.852,1.891,0.4728,0.4211,0.5506,0.4918,-100.0000,1.668,2.246
Ehire Adrianza,29,501303,adriaeh01,2019,MIN,1,AL,236,83,518.3,2.53,-0.43,1.06,-6.00,-1.00,1.00,0.00,2.00,-4.00,0.42,0.00,8.46,8.0,-0.4,3.6,-3.6,0.04,0.38,-0.25,0.83,-0.25,1.17,0.79,1300000,N,4.99919,4.95606,0.09007,4.85418,1.925,1.917,0.4995,0.5042,0.4958,0.4900,102.4795,75.006,88.900
Dario Agrazal,24,642607,agrazda01,2019,PIT,1,NL,24,14,73.3,-4.42,-0.07,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.04,3.84,0.00,-0.4,-0.4,-0.4,0.0,-0.05,-0.04,-0.01,-0.05,-0.01,-0.04,0.00,NULL,Y,4.69157,4.72014,0.08805,4.66443,1.895,1.893,0.4971,0.4971,0.5003,0.4944,-52.4998,7.489,9.618
Jesus Aguilar,29,542583,aguilje01,2019,MIL,1,NL,262,94,468.0,-6.66,-1.44,-1.78,-1.00,1.00,0.00,0.00,1.00,1.00,-2.79,0.00,8.52,-3.2,-11.7,-12.7,-1.8,-1.29,-1.33,-0.27,-0.46,-0.27,-0.50,0.83,637500,N,4.58536,4.72014,0.08805,4.62956,1.888,1.891,0.4874,0.4863,0.4981,0.4908,80.0704,86.040,99.278
Jesus Aguilar,29,542583,aguilje01,2019,TBR,2,AL,107,37,230.0,0.66,-0.61,0.20,0.00,0.00,0.00,0.00,0.00,0.00,-2.05,0.00,3.83,2.0,-1.8,-1.8,-2.1,-0.13,-0.15,-0.15,0.23,-0.15,0.21,0.36,NULL,N,4.90741,4.95606,0.09007,4.85244,1.920,1.917,0.4953,0.4953,0.4946,0.4899,103.0028,34.165,39.946
Nick Ahmed,29,605113,ahmedni01,2019,ARI,1,NL,625,158,1381.0,-3.30,4.32,-0.58,17.00,0.00,0.00,0.00,0.00,17.00,8.31,0.00,20.31,46.1,25.8,8.8,25.3,2.33,0.79,2.41,4.31,2.41,2.77,1.98,3663000,N,4.77552,4.72014,0.08805,4.59158,1.899,1.889,0.5164,0.5055,0.5162,0.4870,92.7650,207.293,248.643
R.J. Alaniz,28,595798,alanirj01,2019,CIN,2,NL,1,8,11.7,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.6,0.6,0.6,0.0,0.06,0.06,-0.01,0.06,-0.01,0.06,0.00,NULL,Y,4.79889,4.72014,0.08805,4.71608,1.901,1.896,0.5079,0.5079,0.5000,0.4996,420.2370,0.335,0.451
R.J. Alaniz,28,595798,alanirj01,2019,SEA,1,AL,0,0,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,4.95606,0.09007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
Hanser Alberto,26,593643,alberha01,2019,BAL,1,AL,550,139,1112.3,5.04,0.21,-0.53,-3.00,5.00,0.00,0.00,-1.00,1.00,3.40,0.00,19.71,28.8,9.1,8.1,4.4,1.08,0.86,0.60,2.94,0.60,2.72,1.86,578000,N,5.01447,4.95606,0.09007,4.81428,1.926,1.915,0.5063,0.5056,0.5031,0.4861,98.4644,176.134,229.564
Matt Albers,36,458006,alberma01,2019,MIL,1,NL,0,63,59.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,-0.06,0.00,-0.06,0.00,0.00,2500000,Y,4.72014,4.72014,0.08805,4.72014,1.896,1.896,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Ozzie Albies,22,645277,albieoz01,2019,ATL,1,NL,702,160,1405.0,15.28,0.95,1.84,10.00,0.00,0.00,0.00,1.00,11.00,4.41,0.00,21.77,55.3,33.5,22.5,15.4,3.04,2.15,1.40,5.17,1.40,4.28,2.13,575000,N,4.86064,4.72014,0.08805,4.58407,1.904,1.888,0.5209,0.5140,0.5097,0.4862,114.1975,236.855,291.136
Jorge Alcala,23,660896,alcaljo01,2019,MIN,1,AL,0,0,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,4.95606,0.09007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
Sandy Alcantara,23,645261,alcansa01,2019,MIA,1,NL,63,31,197.3,-12.21,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,10.07,0.00,-1.9,-1.9,-1.9,0.1,-0.22,-0.20,-0.02,-0.22,-0.02,-0.20,0.00,555000,Y,4.65885,4.72014,0.08805,4.65409,1.893,1.892,0.4938,0.4938,0.5004,0.4933,-39.9726,19.368,25.120
Victor Alcantara,26,622505,alcanvi01,2019,DET,1,AL,0,7,42.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01,0.00,0.00,559100,Y,4.95606,4.95606,0.09007,4.95606,1.923,1.923,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Scott Alexander,29,518397,alexasc02,2019,LAD,1,NL,0,27,17.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,-0.03,0.00,-0.03,0.00,0.00,575000,Y,4.72014,4.72014,0.08805,4.72014,1.896,1.896,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Tyler Alexander,24,641302,alexaty01,2019,DET,1,AL,0,0,53.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,4.95606,0.09007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
Jorge Alfaro,26,595751,alfarjo01,2019,MIA,1,NL,465,130,983.0,-1.35,-3.58,0.49,3.00,1.00,0.00,-4.00,-3.00,-3.00,7.24,0.00,15.11,14.9,-0.2,2.8,4.2,-0.23,0.23,0.31,1.25,0.31,1.71,1.48,570000,N,4.74168,4.72014,0.08805,4.60389,1.897,1.889,0.4998,0.5022,0.5033,0.4882,94.6370,150.102,186.666
Anthony Alford,24,546990,alforan01,2019,TOR,1,AL,30,16,81.0,-2.77,0.75,0.22,-1.00,0.00,0.00,0.00,0.00,-1.00,-0.62,0.00,1.07,-2.4,-3.4,-2.4,-1.6,-0.32,-0.24,-0.14,-0.22,-0.14,-0.14,0.10,NULL,N,4.80481,4.95606,0.09007,4.88887,1.914,1.919,0.4791,0.4852,0.4902,0.4935,38.8768,9.579,12.158
Kolby Allard,21,663465,allarko01,2019,TEX,1,AL,2,1,45.3,-0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,-0.3,-0.3,-0.3,0.0,-0.03,-0.03,0.00,-0.03,0.00,-0.03,0.00,NULL,Y,4.66606,4.95606,0.09007,4.88440,1.906,1.919,0.4713,0.4713,0.5000,0.4930,-100.0000,0.674,0.922
Austin Allen,25,664119,allenau01,2019,SDP,1,NL,71,34,133.0,-5.98,0.03,-0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,2.31,-3.0,-5.3,-5.3,0.9,-0.57,-0.55,0.06,-0.35,0.06,-0.33,0.22,NULL,N,4.56455,4.72014,0.08805,4.65228,1.887,1.892,0.4842,0.4842,0.5026,0.4932,50.5197,23.018,28.288
Cody Allen,30,592102,allenco01,2019,LAA,1,AL,1,1,23.0,-0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,-0.1,-0.1,-0.1,0.0,-0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,8500000,Y,4.82606,4.95606,0.09007,4.92023,1.915,1.921,0.4873,0.4873,0.5000,0.4965,-100.0000,0.321,0.436
Greg Allen,26,656185,allengr01,2019,CLE,1,AL,256,89,570.3,-9.92,0.15,1.48,3.00,0.00,3.00,0.00,0.00,6.00,-2.64,0.00,9.17,4.2,-4.9,-10.9,3.4,-0.39,-1.03,0.44,0.48,0.44,-0.16,0.87,560400,N,4.83325,4.95606,0.09007,4.85299,1.916,1.917,0.4946,0.4880,0.5037,0.4899,65.5481,82.757,103.442
Logan Allen,22,663531,allenlo01,2019,CLE,2,AL,0,0,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,4.95606,0.09007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
Logan Allen,22,663531,allenlo01,2019,SDP,1,NL,5,7,25.3,-0.02,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.80,0.00,0.7,0.7,0.7,0.0,0.07,0.07,-0.01,0.07,-0.01,0.07,0.00,NULL,Y,4.81300,4.72014,0.08805,4.69693,1.901,1.895,0.5093,0.5093,0.5001,0.4977,80.8189,1.621,1.741
Abraham Almonte,30,501659,almonab01,2019,ARI,1,NL,38,17,67.0,2.30,0.89,-0.01,1.00,0.00,1.00,0.00,0.00,2.00,-0.23,0.00,1.24,6.2,5.0,3.0,1.8,0.47,0.28,0.16,0.59,0.16,0.40,0.12,NULL,N,4.89367,4.72014,0.08805,4.64750,1.906,1.892,0.5291,0.5172,0.5106,0.4927,149.3713,12.624,13.863
Yency Almonte,25,622075,almonye01,2019,COL,1,NL,5,27,34.0,-1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.80,0.00,-0.7,-0.7,-0.7,0.0,-0.07,-0.07,-0.03,-0.07,-0.03,-0.07,0.00,NULL,Y,4.69311,4.72014,0.08805,4.71412,1.895,1.896,0.4973,0.4973,0.5000,0.4994,-100.0000,1.766,2.394
Albert Almora,25,546991,almoral01,2019,CHC,1,NL,363,130,765.3,-16.23,-0.26,-0.29,-5.00,0.00,0.00,0.00,0.00,-5.00,2.09,0.00,11.80,-7.9,-19.7,-14.7,-2.9,-2.14,-1.53,-0.41,-0.98,-0.41,-0.37,1.16,615500,N,4.60714,4.72014,0.08805,4.62939,1.890,1.891,0.4847,0.4886,0.4978,0.4908,65.9761,119.393,152.245
Pete Alonso,24,624413,alonspe01,2019,NYM,1,NL,693,161,1337.0,45.44,-0.18,-0.35,1.00,-2.00,0.00,0.00,-2.00,-3.00,-8.24,0.00,21.91,55.6,33.7,36.7,-11.2,3.03,3.53,-1.28,5.17,-1.28,5.67,2.14,555000,N,4.94791,4.72014,0.08805,4.58407,1.909,1.888,0.5206,0.5225,0.4930,0.4862,147.7101,221.760,256.113
Yonder Alonso,32,475174,alonsyo01,2019,CHW,1,AL,251,67,553.0,-11.23,-0.33,-1.17,-2.00,0.00,0.00,0.00,0.00,-2.00,-5.07,0.00,8.99,-10.8,-19.8,-17.8,-7.1,-1.86,-1.72,-0.61,-1.01,-0.61,-0.87,0.85,NULL,N,4.69038,4.95606,0.09007,4.82183,1.908,1.915,0.4709,0.4737,0.4897,0.4869,55.5030,80.144,95.090
Yonder Alonso,32,475174,alonsyo01,2019,COL,2,NL,84,54,85.0,-0.29,0.00,-0.89,0.00,0.00,0.00,0.00,0.00,0.00,-0.45,0.00,2.73,1.1,-1.6,-1.6,-0.5,-0.20,-0.17,-0.09,0.07,-0.09,0.10,0.27,NULL,N,4.68996,4.72014,0.08805,4.66959,1.894,1.893,0.4970,0.4970,0.4992,0.4949,101.2028,29.677,34.960
Dan Altavilla,26,656186,altavda01,2019,SEA,1,AL,0,2,14.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,Y,4.95606,4.95606,0.09007,4.95606,1.923,1.923,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Aaron Altherr,28,571437,altheaa01,2019,NYM,3,NL,35,26,78.0,-3.75,0.25,0.00,-1.00,0.00,0.00,0.00,0.00,-1.00,-0.30,0.00,1.14,-3.7,-4.8,-3.8,-1.3,-0.50,-0.38,-0.15,-0.39,-0.15,-0.27,0.11,NULL,N,4.57399,4.72014,0.08805,4.67639,1.888,1.894,0.4813,0.4852,0.4950,0.4956,22.6549,11.200,13.299
Aaron Altherr,28,571437,altheaa01,2019,PHI,1,NL,30,22,50.3,-6.33,-0.12,-0.01,1.00,0.00,0.00,0.00,0.00,1.00,-0.08,0.00,0.98,-4.6,-5.5,-6.5,0.9,-0.58,-0.67,0.07,-0.49,0.07,-0.58,0.09,1350000,N,4.42287,4.72014,0.08805,4.67583,1.879,1.894,0.4741,0.4695,0.5042,0.4955,-64.6537,10.005,13.024
Aaron Altherr,28,571437,altheaa01,2019,SFG,2,NL,1,1,0.0,-0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,-0.3,-0.3,-0.3,0.0,-0.03,-0.03,0.00,-0.03,0.00,-0.03,0.00,NULL,N,4.44014,4.72014,0.08805,4.68764,1.880,1.894,0.4713,0.4713,0.5000,0.4967,-100.0000,0.323,0.433
Jose Altuve,29,514888,altuvjo01,2019,HOU,1,AL,548,124,1043.7,19.91,-1.77,-1.94,1.00,-2.00,0.00,0.00,0.00,-1.00,3.18,0.00,18.91,37.3,18.4,19.4,2.2,1.96,1.94,0.37,3.76,0.37,3.74,1.80,9500000,N,5.11235,4.95606,0.09007,4.80356,1.931,1.914,0.5142,0.5150,0.5017,0.4850,131.2131,178.924,222.950
Jose Alvarez,30,501625,alvarjo02,2019,PHI,1,NL,0,62,59.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,-0.06,0.00,-0.06,0.00,0.00,1925000,Y,4.72014,4.72014,0.08805,4.72014,1.896,1.896,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Jose Alvarado,24,621237,alvarjo03,2019,TBR,1,AL,0,4,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01,0.00,0.00,570600,Y,4.95606,4.95606,0.09007,4.95606,1.923,1.923,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Yordan Alvarez,22,670541,alvaryo01,2019,HOU,1,AL,369,87,732.0,33.43,-1.24,-1.40,0.00,0.00,1.00,0.00,0.00,1.00,-7.19,0.00,13.22,37.8,24.6,23.6,-6.2,2.47,2.29,-0.49,3.73,-0.49,3.55,1.26,NULL,N,5.22732,4.95606,0.09007,4.80409,1.938,1.914,0.5269,0.5258,0.4931,0.4851,172.8149,120.700,139.567
Adbert Alzolay,24,640470,alzolad01,2019,CHC,1,NL,5,4,12.3,-1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.80,0.00,-0.7,-0.7,-0.7,0.0,-0.07,-0.07,0.00,-0.07,0.00,-0.07,0.00,NULL,Y,4.55764,4.72014,0.08805,4.67952,1.887,1.894,0.4835,0.4835,0.5003,0.4959,-100.0000,1.668,2.246
Brett Anderson,31,474463,anderbr04,2019,OAK,1,AL,8,3,176.0,0.78,-0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,1.28,0.00,1.9,1.9,1.9,0.0,0.17,0.17,0.00,0.17,0.00,0.17,0.00,1500000,Y,5.58272,4.95606,0.09007,4.86051,1.957,1.917,0.5580,0.5580,0.5003,0.4907,174.1270,2.533,3.442
Brian Anderson,26,605119,anderbr06,2019,MIA,1,NL,520,126,1053.4,11.58,0.01,-0.99,5.00,1.00,5.00,0.00,2.00,13.00,-0.81,0.00,16.90,39.7,22.8,9.8,12.2,2.07,0.91,1.11,3.72,1.11,2.56,1.65,585000,N,4.79784,4.72014,0.08805,4.58602,1.901,1.888,0.5182,0.5078,0.5098,0.4864,114.1960,167.856,198.793
Chase Anderson,31,502624,anderch01,2019,MIL,1,NL,44,31,139.0,-7.29,-0.20,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.08,6.82,0.04,-0.3,-0.4,-0.4,0.1,-0.06,-0.05,-0.02,-0.06,-0.02,-0.05,0.00,6500000,Y,4.70788,4.72014,0.08805,4.67401,1.895,1.893,0.4988,0.4988,0.5003,0.4954,-29.0437,13.952,17.888
Cody Anderson,28,594736,anderco01,2019,CLE,1,AL,0,0,8.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,641250,Y,NULL,4.95606,0.09007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
Drew Anderson,25,623454,anderdr02,2019,PHI,1,NL,1,2,6.0,-0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,-0.1,-0.1,-0.1,0.0,-0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,NULL,Y,4.65514,4.72014,0.08805,4.70389,1.892,1.895,0.4934,0.4934,0.5000,0.4984,-100.0000,0.334,0.449
Justin Anderson,26,605121,anderju01,2019,LAA,1,AL,0,5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01,0.00,0.00,561500,Y,4.95606,4.95606,0.09007,4.95606,1.923,1.923,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Nick Anderson,28,623433,anderni01,2019,MIA,1,NL,0,41,43.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,-0.04,0.00,-0.04,0.00,0.00,555000,Y,4.72014,4.72014,0.08805,4.72014,1.896,1.896,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Nick Anderson,28,623433,anderni01,2019,TBR,2,AL,0,3,21.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,Y,4.95606,4.95606,0.09007,4.95606,1.923,1.923,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Shaun Anderson,24,641312,andersh01,2019,SFG,1,NL,28,25,96.0,-5.25,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,4.48,0.00,-0.7,-0.7,-0.7,0.1,-0.08,-0.07,-0.01,-0.08,-0.01,-0.07,0.00,NULL,Y,4.69374,4.72014,0.08805,4.68374,1.895,1.894,0.4973,0.4973,0.5002,0.4963,-36.5474,8.393,10.827
Tanner Anderson,26,664196,anderta01,2019,OAK,1,AL,1,1,22.3,-0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.01,-0.1,-0.2,-0.2,0.0,-0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,NULL,Y,4.80606,4.95606,0.09007,4.92023,1.914,1.921,0.4853,0.4853,0.5000,0.4965,-100.0000,0.317,0.430
Tim Anderson,26,641313,anderti01,2019,CHW,1,AL,518,123,1059.0,19.22,2.65,1.81,-15.00,2.00,0.00,0.00,1.00,-12.00,6.34,0.00,18.56,36.6,18.0,30.0,-5.7,1.90,2.92,-0.39,3.66,-0.39,4.68,1.76,1400000,N,5.20012,4.95606,0.09007,4.80516,1.936,1.914,0.5139,0.5232,0.4956,0.4852,128.8560,165.397,216.232
Tyler Anderson,29,542881,anderty01,2019,COL,1,NL,8,5,20.7,-1.59,-0.04,-0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.01,1.28,0.00,-0.6,-0.6,-0.6,0.0,-0.06,-0.06,0.00,-0.06,0.00,-0.06,0.00,2625000,Y,4.60814,4.72014,0.08805,4.66814,1.890,1.893,0.4887,0.4887,0.5002,0.4948,-29.7303,2.473,3.352
Matt Andriese,29,542882,andrima01,2019,ARI,1,NL,6,51,70.7,-1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.96,0.00,-0.8,-0.8,-0.8,0.0,-0.08,-0.08,-0.05,-0.08,-0.05,-0.08,0.00,920000,Y,4.70504,4.72014,0.08805,4.71632,1.895,1.896,0.4985,0.4985,0.5000,0.4996,-100.0000,1.993,2.683
Elvis Andrus,30,462101,andruel01,2019,TEX,1,AL,648,147,1288.3,-15.12,5.73,1.55,-1.00,-1.00,0.00,0.00,-2.00,-4.00,7.77,0.00,22.42,18.4,-4.1,-0.1,3.8,-0.17,0.09,0.55,1.97,0.55,2.23,2.14,15250000,N,4.95558,4.95606,0.09007,4.80356,1.923,1.914,0.4973,0.5000,0.5025,0.4850,78.2992,218.376,276.540
Miguel Andujar,24,609280,andujmi01,2019,NYY,1,AL,49,12,105.0,-8.98,0.07,-0.04,-4.00,0.00,0.00,0.00,0.00,-4.00,-0.66,0.00,1.76,-11.9,-13.6,-9.6,-4.7,-1.33,-0.97,-0.42,-1.17,-0.42,-0.81,0.16,617600,N,4.15522,4.95606,0.09007,4.80975,1.877,1.915,0.3876,0.4180,0.4631,0.4857,-26.1727,15.709,20.501
