,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Ability Score
273,Al Horford,33,Puerto Plata,Dominican Republic,,,University of Florida,29.6436325,-82.3549302,26.6
462,Jabari Parker,25,"Chicago, IL",USA,,,Duke University,36.0014258,-78.9382286,26.4
235,Tim Hardaway Jr.,28,"Orinda, CA",USA,,,University of Michigan,42.2780436,-83.7382241,26.3
491,Josh Richardson,26,"Edmond, OK",USA,,,University of Tennessee,35.9544013,-83.92945639999999,25.90000000000001
501,Derrick Rose,31,"Chicago, IL",USA,,,University of Memphis,35.1187498,-89.9374928,25.8
480,Bobby Portis,25,"Little Rock, AR",USA,,,University of Arkansas,36.0686895,-94.1748471,25.8
459,Kelly Oubre Jr.,24,"New Orleans, LA",USA,,,University of Kansas,38.9543439,-95.2557961,25.700000000000006
550,Jayson Tatum,22,"St. Louis, MO",USA,,,Duke University,36.0014258,-78.9382286,25.6
571,Myles Turner,24,"Bedford, TX",USA,,,University of Texas at Austin,30.2849185,-97.7340567,25.6
588,T.J. Warren,26,"Durham, NC",USA,,,North Carolina State University,35.7846633,-78.6820946,25.4
610,Delon Wright,27,"Los Angeles, CA",USA,,,University of Utah,40.7649368,-111.8421021,25.200000000000006
133,Robert Covington,29,"Bellwood, IL",USA,,,Tennessee State University,36.1668224,-86.8275815,25.0
470,Elfrid Payton,26,"Gretna, LA",USA,,,University of Louisiana at Lafayette,30.2114404,-92.0204121,24.8
24,Trevor Ariza,34,"Miami, FL",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,24.6
538,Dennis Smith Jr.,22,"Fayetteville, NC",USA,,,North Carolina State University,35.7846633,-78.6820946,24.6
160,Spencer Dinwiddie,27,"Los Angeles, CA",USA,,,University of Colorado,40.00758099999999,-105.2659417,24.6
341,Jeremy Lamb,27,"Henrico Valley, VA",USA,,,University of Connecticut,41.8077414,-72.2539805,24.5
580,Dwyane Wade,38,"Chicago, IL",USA,,,Marquette University,43.0388337,-87.92856669999999,24.5
110,Willie Cauley-Stein,26,"Spearville, KS",USA,,,University of Kentucky,38.0306511,-84.5039697,24.5
