,Name,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng
108,Jesper Bratt,Stockholm,Sweden,,,,,
109,Justin Braun,"Minneapolis, MN",USA,,,,,
110,Connor Brickley,"Everett, MA",USA,,,,,
111,Daniel Brickley,"Salt Lake City, UT",USA,,,,,
112,Guillaume Brisebois,"St. Hilaire, QC",Canada,,,,,
113,TJ Brodie,"Chatham, ON",Canada,,,,,
114,Jonas Brodin,Karlstad,Sweden,,,,,
115,Kyle Brodziak,"St. Paul, AB",Canada,,,,,
116,Jonny Brodzinski,"Ham Lake, MN",USA,,,,,
117,Laurent Brossoit,"Port Alberni, BC",Canada,,,,,
118,Troy Brouwer,"Vancouver, BC",Canada,,,,,
119,Connor Brown,"Toronto, ON",Canada,,,,,
120,Dustin Brown,"Ithaca, NY",USA,,,,,
121,Josh Brown,"London, ON",Canada,,,,,
122,J.T. Brown,"Burnsville, MN",USA,,,,,
123,Logan Brown,"Raleigh, NC",USA,,,,,
124,Pavel Buchnevich,Cherepovets,Russia,,,,,
125,Peter Budaj,Banská Bystrica,Slovakia,,,,,
126,Michael Bunting,"Scarborough, ON",Canada,,,,,
127,Andre Burakovsky,Klagenfurt,Austria,,,,,
128,Erik Burgdoerfer,"Abington, PA",USA,,,,,
129,Brent Burns,"Barrie, ON",Canada,,,,,
130,Will Butcher,"Sun Prairie, WI",USA,,,,,
131,Chris Butler,"St. Louis, MO",USA,,,,,
132,Dustin Byfuglien,"Roseau, MN",USA,,,,,
133,Paul Byron,"Ottawa, ON",Canada,,,,,
134,Drake Caggiula,"Pickering, ON",Canada,,,,,
135,Drake Caggiula,"Pickering, ON",Canada,,,,,
136,Ryan Callahan,"Rochester, NY",USA,,,,,
137,Matt Calvert,"Brandon, MB",Canada,,,,,
138,Jack Campbell,"Port Huron, MI",USA,,,,,
139,Kyle Capobianco,"Mississauga, ON",Canada,,,,,
140,Paul Carey,"Weymouth, MA",USA,,,,,
141,Paul Carey,"Weymouth, MA",USA,,,,,
142,Brandon Carlo,"Colorado Springs, CO",USA,,,,,
143,John Carlson,"Natick, MA",USA,,,,,
144,Gabriel Carlsson,Orebro,Sweden,,,,,
145,Ryan Carpenter,"Oviedo, FL",USA,,,,,
146,Daniel Carr,"Sherwood Park, AB",Canada,,,,,
147,Connor Carrick,"Orland Park, IL",USA,,,,,
148,Connor Carrick,"Orland Park, IL",USA,,,,,
149,Sam Carrick,"Markham, ON",USA,,,,,
150,Trevor Carrick,"Stouffville, ON",Canada,,,,,
151,William Carrier,"LaSalle, QC",Canada,,,,,
152,Jeff Carter,"London, ON",Canada,,,,,
153,Colby Cave,"North Battleford, SK",Canada,,,,,
154,Colby Cave,"North Battleford, SK",Canada,,,,,
155,Cody Ceci,"Ottawa, ON",Canada,,,,,
156,Peter Cehlarik,Silina,Slovakia,,,,,
157,Erik Cernak,Kosice,Slovakia,,,,,
158,Thomas Chabot,"Sainte-Marie, QC",Canada,,,,,
159,Michael Chaput,"Ile Bizard, QC",Canada,,,,,
160,Zdeno Chara,Trencin,Slovakia,,,,,
161,Rourke Chartier,"Saskatoon, SK",Canada,,,,,
162,Jake Chelios,"Bloomfield Hills, MI",USA,,,,,
163,Ben Chiarot,"Hamilton, ON",Canada,,,,,
164,Alex Chiasson,"Montreal, QC",Canada,,,,,
165,Filip Chlapik,Prague,Czech Republic,,,,,
166,Dennis Cholowski,"Langley, BC",Canada,,,,,
167,Jakob Chychrun,"Boca Raton, FL",USA,,,,,
168,Filip Chytil,Kromeriz,Czech Republic,,,,,
169,Anthony Cirelli,"Etobicoke, ON",Canada,,,,,
170,Casey Cizikas,"Toronto, ON",Canada,,,,,
171,Fredrik Claesson,Stockholm,Sweden,,,,,
172,Adam Clendening,"Niagara Falls, NY",USA,,,,,
173,Kyle Clifford,"Ayr, ON",Canada,,,,,
174,Connor Clifton,"Long Branch, NJ",USA,,,,,
175,Cal Clutterbuck,"Welland, ON",Canada,,,,,
176,Braydon Coburn,"Shaunavon, SK",Canada,,,,,
177,Andrew Cogliano,"Toronto, ON",Canada,,,,,
178,Andrew Cogliano,"Toronto, ON",Canada,,,,,
179,Ian Cole,"Ann Arbor, MI",USA,,,,,
180,Blake Coleman,"Plano, TX",USA,,,,,
181,Blake Comeau,"Meadow Lake, SK",Canada,,,,,
182,J.T. Compher,"Northbrook, IL",USA,,,,,
183,Eric Comrie,"Edmonton, AB",Canada,,,,,
184,Max Comtois,"Longueuil, QC",Canada,,,,,
185,Cory Conacher,"Burlington, ON",Canada,,,,,
186,Mike Condon,"Holliston, MA",USA,,,,,
187,Erik Condra,"Trenton, MI",USA,,,,,
188,Kevin Connauton,"Edmonton, AB",Canada,,,,,
189,Brett Connolly,"Campbell River, BC",Canada,,,,,
190,Kyle Connor,"Shelby Township, MI",USA,,,,,
191,Phoenix Copley,"North Pole, AK",USA,,,,,
192,Andrew Copp,"Ann Arbor, MI",USA,,,,,
193,Nick Cousins,"Belleville, ON",Canada,,,,,
194,Logan Couture,"Guelph, ON",Canada,,,,,
195,Sean Couturier,"Phoenix, AZ",USA,,,,,
196,Charlie Coyle,"E. Weymouth, MA",USA,,,,,
197,Charlie Coyle,"E. Weymouth, MA",USA,,,,,
198,Adam Cracknell,"Prince Albert, SK",Canada,,,,,
199,Corey Crawford,"Montreal, QC",Canada,,,,,
200,Sidney Crosby,"Cole Harbour, NS",Canada,,,,,
201,Lawson Crouse,"Mt. Brydges, ON",Canada,,,,,
202,Matt Cullen,"Virginia, MN",USA,,,,,
203,Josh Currie,"Charlottetown, PEI",Canada,,,,,
204,Austin Czarnik,"Washington Township, MI",USA,,,,,
205,Joel Daccord,"Boston, MA",USA,,,,,
206,Evgenii Dadonov,Chelyabinsk,Russia,,,,,
207,Rasmus Dahlin,Lidkoping,Sweden,,,,,
208,Carl Dahlstrom,Stockholm,Sweden,,,,,
