,Name,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng
472,Alex Iafallo,"Eden, NY",USA,,,,,
473,Matt Irwin,"Victoria, BC",Canada,,,,,
474,Josh Jacobs,"Shelby Township, MI",USA,,,,,
475,Mark Jankowski,"Hamilton, ON",Canada,,,,,
476,Mattias Janmark,Danderyd,Sweden,,,,,
477,Calle Jarnkrok,Gävle,Sweden,,,,,
478,Christian Jaros,Kosice,Slovakia,,,,,
479,Tristan Jarry,"Surrey, BC",Canada,,,,,
480,Dmitrij Jaskin,Omsk,Russia,,,,,
481,Boone Jenner,"Dorchester, ON",Canada,,,,,
482,Nick Jensen,"Rogers, MN",USA,,,,,
483,Nick Jensen,"Rogers, MN",USA,,,,,
484,Jakub Jerabek,Pilsen,Czech Republic,,,,,
485,Ryan Johansen,"Vancouver, BC",Canada,,,,,
486,Marcus Johansson,Landskrona,Sweden,,,,,
487,Marcus Johansson,Landskrona,Sweden,,,,,
488,Adam Johnson,"Hibbing, MN",USA,,,,,
489,Chad Johnson,"Saskatoon, SK",Canada,,,,,
490,Chad Johnson,"Saskatoon, SK",Canada,,,,,
491,Erik Johnson,"Bloomington, MN",USA,,,,,
492,Jack Johnson,"Indianapolis, IN",USA,,,,,
493,Luke Johnson,"Grand Forks, ND",USA,,,,,
494,Tyler Johnson,"Spokane, WA",USA,,,,,
495,Andreas Johnsson,Gävle,Sweden,,,,,
496,Ross Johnston,"Charlottetown, PE",Canada,,,,,
497,Henri Jokiharju,Oulu,Finland,,,,,
498,Caleb Jones,"Arlington, TX",USA,,,,,
499,Martin Jones,"North Vancouver, BC",Canada,,,,,
500,Max Jones,"Rochester, MI",USA,,,,,
501,Seth Jones,"Arlington, TX",USA,,,,,
502,Mathieu Joseph,"Chambly, QC",Canada,,,,,
503,Roman Josi,Bern,Switzerland,,,,,
504,Tyson Jost,"St. Albert, AB",Canada,,,,,
505,Noah Juulsen,"Abbotsford, BC",Canada,,,,,
506,Nazem Kadri,"London, ON",Canada,,,,,
507,Dominik Kahun,Plana,Czech Republic,,,,,
508,Vladislav Kamenev,Orsk,Russia,,,,,
509,David Kampf,Chomutov,Czech Republic,,,,,
510,Steven Kampfer,"Ann Arbor, MI",USA,,,,,
511,Evander Kane,"Vancouver, BC",Canada,,,,,
512,Patrick Kane,"Buffalo, NY",USA,,,,,
513,Kasperi Kapanen,Kuopio,Finland,,,,,
514,Erik Karlsson,Landsbro,Sweden,,,,,
515,Melker Karlsson,Lycksele,Sweden,,,,,
516,William Karlsson,Marsta,Sweden,,,,,
517,Ondrej Kase,Kadan,Czech Republic,,,,,
518,Zack Kassian,"Windsor, ON",Canada,,,,,
519,Brady Keeper,"Cross Lake, MB",Canada,,,,,
520,Duncan Keith,"Winnipeg, MB",Canada,,,,,
521,Clayton Keller,"Chesterfield, MO",USA,,,,,
522,Adrian Kempe,Kramfors,Sweden,,,,,
523,Mario Kempe,Kramfors,Sweden,,,,,
524,Michal Kempny,Hodonin,Czech Republic,,,,,
525,Alexander Kerfoot,"Vancouver, BC",Canada,,,,,
526,Ryan Kesler,"Livonia, MI",USA,,,,,
527,Phil Kessel,"Madison, WI",USA,,,,,
528,Jujhar Khaira,"Surrey, BC",Canada,,,,,
529,Anton Khudobin,Ust-Kamenogorsk,Kazakhstan,,,,,
530,Alex Killorn,"Halifax, NS",Canada,,,,,
531,Keith Kinkaid,"Farmingville, NY",USA,,,,,
532,Bogdan Kiselevich,Cherepovets,Russia,,,,,
533,Oscar Klefbom,Karlstad,Sweden,,,,,
534,John Klingberg,Gothenburg,Sweden,,,,,
535,Justin Kloos,"Lakeville, MN",USA,,,,,
536,Corban Knight,"Oliver, BC",Canada,,,,,
537,Slater Koekkoek,"Winchester, ON",Canada,,,,,
538,Slater Koekkoek,"Winchester, ON",Canada,,,,,
539,Mikko Koivu,Turku,Finland,,,,,
540,Leo Komarov,Narva,Estonia,,,,,
541,Travis Konecny,"London, ON",Canada,,,,,
542,Anze Kopitar,Jesenice,Slovenia,,,,,
543,Joonas Korpisalo,Pori,Finland,,,,,
544,Mikko Koskinen,Vantaa,Finland,,,,,
545,Kalle Kossila,Kauniainen,Finland,,,,,
546,Jesperi Kotkaniemi,Pori,Finland,,,,,
547,Ilya Kovalchuk,Tver,Russia,,,,,
548,Chris Kreider,"Boxford, MA",USA,,,,,
549,David Krejci,Sternberk,Czech Republic,,,,,
550,Niklas Kronwall,Stockholm,Sweden,,,,,
551,Torey Krug,"Livonia, MI",USA,,,,,
552,Marcus Kruger,Stockholm,Sweden,,,,,
553,Nikita Kucherov,Maykop,Russia,,,,,
554,Darcy Kuemper,"Saskatoon, SK",Canada,,,,,
555,Ryan Kuffner,"Ottawa, ON",Canada,,,,,
556,Karson Kuhlman,"Duluth, MN",USA,,,,,
557,Tom Kuhnhackl,Landshut,Germany,,,,,
558,Dean Kukan,Volketswil,Switzerland,,,,,
559,Brett Kulak,"Edmonton, AB",Canada,,,,,
560,Dmitry Kulikov,Lipetsk,Russia,,,,,
561,Luke Kunin,"Chesterfield, MO",USA,,,,,
562,Chris Kunitz,"Regina, SK",Canada,,,,,
563,Janne Kuokkanen,Oulunsalo,Finland,,,,,
564,Sean Kuraly,"Dublin, OH",USA,,,,,
565,Evgeny Kuznetsov,Chelyabinsk,Russia,,,,,
566,Oliver Kylington,Stockholm,Sweden,,,,,
567,Jordan Kyrou,"Toronto, ON",Canada,,,,,
568,Kevin Labanc,"Brooklyn, NY",USA,,,,,
569,Andrew Ladd,"Maple Ridge, BC",Canada,,,,,
570,Paul LaDue,"Grand Forks, ND",USA,,,,,
571,Maxime Lagace,"Saint-Augustin, QC",Canada,,,,,
572,Patrik Laine,Tampere,Finland,,,,,
573,Maxime Lajoie,"Quebec City, QC",Canada,,,,,
574,Juho Lammikko,Noormarkku,Finland,,,,,
575,Gabriel Landeskog,Stockholm,Sweden,,,,,
576,Nick Lappin,"Geneva, IL",USA,,,,,
577,Dylan Larkin,"Waterford, MI",USA,,,,,
578,Adam Larsson,Skellefteå,Sweden,,,,,
579,Jacob Larsson,Ljungby,Sweden,,,,,
580,Johan Larsson,Lau,Sweden,,,,,
581,Brian Lashoff,"Albany, NY",USA,,,,,
582,Scott Laughton,"Oakville, ON",Canada,,,,,
583,Jeremy Lauzon,"Val D'or, QC",Canada,,,,,
584,Curtis Lazar,"Salmon Arm, BC",Canada,,,,,
585,Nick Leddy,"Eden Prairie, MN",USA,,,,,
586,Anders Lee,"Edina, MN",USA,,,,,
587,Artturi Lehkonen,Piikkio,Finland,,,,,
588,Robin Lehner,Gothenburg,Sweden,,,,,
589,Jori Lehtera,Helsinki,Finland,,,,,
590,Brendan Leipsic,"Winnipeg, MB",Canada,,,,,
591,Brendan Leipsic,"Winnipeg, MB",Canada,,,,,
592,Josh Leivo,"Innisfil, ON",Canada,,,,,
593,Josh Leivo,"Innisfil, ON",Canada,,,,,
594,Brendan Lemieux,"Denver, CO",USA,,,,,
595,Brendan Lemieux,"Denver, CO",USA,,,,,
596,Joel L'Esperance,"Brighton, MI",USA,,,,,
597,Kris Letang,"Montreal, QC",Canada,,,,,
598,Mark Letestu,"Elk Point, AB",Canada,,,,,
599,Vinni Lettieri,"Excelsior, MN",USA,,,,,
600,Tyler Lewington,"Edmonton, AB",Canada,,,,,
601,Trevor Lewis,"Salt Lake City, UT",USA,,,,,
602,Oscar Lindberg,Skellefteå,Sweden,,,,,
603,Oscar Lindberg,Skellefteå,Sweden,,,,,
604,Oskar Lindblom,Gävle,Sweden,,,,,
605,Esa Lindell,Vantaa,Finland,,,,,
606,Charlie Lindgren,"Lakeville, MN",USA,,,,,
607,Ryan Lindgren,"Burnsville, MN",USA,,,,,
608,Anton Lindholm,Skelleftea,Sweden,,,,,
609,Elias Lindholm,Boden,Sweden,,,,,
610,Hampus Lindholm,Helsingborg,Sweden,,,,,
611,Par Lindholm,Kusmark,Sweden,,,,,
612,Par Lindholm,Kusmark,Sweden,,,,,
613,Bryan Little,"Edmonton, AB",Canada,,,,,
614,Blake Lizotte,"Lindstrom, MN",USA,,,,,
615,Ryan Lomberg,"Richmond Hill, ON",Canada,,,,,
616,Ben Lovejoy,"Concord, NH",USA,,,,,
617,Ben Lovejoy,"Concord, NH",USA,,,,,
618,Adam Lowry,"St. Louis, MO",USA,,,,,
619,Milan Lucic,"Vancouver, BC",Canada,,,,,
620,Matt Luff,"Oakville, ON",Canada,,,,,
621,Isac Lundestrom,Gallivare,Sweden,,,,,
622,Henrik Lundqvist,Are,Sweden,,,,,
623,Roberto Luongo,"Montreal, QC",Canada,,,,,
624,Alex Lyon,"Baudette, MN",USA,,,,,
625,Ilya Lyubushkin,Moscow,Russia,,,,,
626,Olli Maatta,Jyväskylä,Finland,,,,,
627,Kurtis MacDermid,"Sauble Beach, ON",Canada,,,,,
628,Andrew MacDonald,"Judique, NS",Canada,,,,,
629,Jacob MacDonald,"Portland, OR",USA,,,,,
630,Mackenzie MacEachern,"Bloomfield Hills, MI",USA,,,,,
631,Zack MacEwen,"Charlottetown, PE",Canada,,,,,
632,Derek MacKenzie,"Sudbury, ON",Canada,,,,,
633,Nathan MacKinnon,"Halifax, NS",Canada,,,,,
634,Saku Maenalanen,Kemi,Finland,,,,,
635,Josh Mahura,"St. Albert, AB",Canada,,,,,
636,Denis Malgin,Olten,Switzerland,,,,,
637,Evgeni Malkin,Magnitogorsk,Russia,,,,,
638,Brad Malone,"Chatham, NB",Canada,,,,,
639,Maxim Mamin,Moscow,Russia,,,,,
640,Andrew Mangiapane,"Toronto, ON",Canada,,,,,
641,Brandon Manning,"Prince George, BC",Canada,,,,,
642,Brandon Manning,"Prince George, BC",Canada,,,,,
643,Josh Manson,"Hinsdale, IL",USA,,,,,
644,Anthony Mantha,"Longueuil, QC",Canada,,,,,
645,Brad Marchand,"Halifax, NS",Canada,,,,,
646,Jonathan Marchessault,"Cap-Rouge, QC",Canada,,,,,
647,Martin Marincin,Kosice,Slovakia,,,,,
648,Jacob Markstrom,Gävle,Sweden,,,,,
649,Patrick Marleau,"Aneroid, SK",Canada,,,,,
650,Mitchell Marner,"Markham, ON",Canada,,,,,
651,Cooper Marody,"Brighton, MI",USA,,,,,
652,Pat Maroon,"St. Louis, MO",USA,,,,,
653,Danick Martel,"Drummondville, QC",Canada,,,,,
654,Matt Martin,"Windsor, ON",Canada,,,,,
655,Alec Martinez,"Rochester Hills, MI",USA,,,,,
656,Jordan Martinook,"Brandon, MB",Canada,,,,,
657,Andreas Martinsen,Bærum,Norway,,,,,
658,Mike Matheson,"Pointe-Claire, QC",Canada,,,,,
659,Auston Matthews,"San Ramon, CA",USA,,,,,
660,Scott Mayfield,"St. Louis, MO",USA,,,,,
661,Charlie McAvoy,"Long Beach, NY",USA,,,,,
662,Jake McCabe,"Eau Claire, WI",USA,,,,,
663,Jared McCann,"Stratford, ON",Canada,,,,,
664,Jared McCann,"Stratford, ON",Canada,,,,,
665,Max McCormick,"De Pere, WI",USA,,,,,
666,Ian McCoshen,"Anaheim, CA",USA,,,,,
667,Connor McDavid,"Richmond Hill, ON",Canada,,,,,
668,Ryan McDonagh,"St. Paul, MN",USA,,,,,
669,Curtis McElhinney,"London, ON",Canada,,,,,
670,Brock McGinn,"Fergus, ON",Canada,,,,,
671,Jamie McGinn,"Fergus, ON",Canada,,,,,
672,Dylan McIlrath,"Winnipeg, MB",Canada,,,,,
673,Greg McKegg,"St. Thomas, ON",Canada,,,,,
674,Mike McKenna,"St. Louis, MO",USA,,,,,
675,Mike McKenna,"St. Louis, MO",USA,,,,,
676,Cody McLeod,"Binscarth, MB",Canada,,,,,
677,Cody McLeod,"Binscarth, MB",Canada,,,,,
678,Michael McLeod,"Mississauga, ON",Canada,,,,,
679,Brayden McNabb,"Davidson, SK",Canada,,,,,
680,Adam McQuaid,"Charlottetown, PE",Canada,,,,,
681,Adam McQuaid,"Charlottetown, PE",Canada,,,,,
682,Wade Megan,"Canton, NY",USA,,,,,
683,Jaycob Megna,"Plantation, FL",USA,,,,,
684,Timo Meier,Herisau,Switzerland,,,,,
685,Dakota Mermis,"Alton, IL",USA,,,,,
686,Jon Merrill,"Oklahoma City, OK",USA,,,,,
687,Victor Mete,"Woodbridge, ON",Canada,,,,,
688,Marc Methot,"Ottawa, ON",Canada,,,,,
689,Jacob Middleton,"Wainwright, AB",Canada,,,,,
690,Sonny Milano,"Massapequa, NY",USA,,,,,
691,Colin Miller,"Sault Ste. Marie, ON",Canada,,,,,
692,J.T. Miller,"East Palestine, OH",USA,,,,,
693,Kevan Miller,"Los Angeles, CA",USA,,,,,
694,Ryan Miller,"East Lansing, MI",USA,,,,,
695,Hunter Miska,"Stacy, MN",USA,,,,,
696,Casey Mittelstadt,"Edina, MN",USA,,,,,
697,Sean Monahan,"Brampton, ON",Canada,,,,,
698,Sam Montembeault,"Becancour, QC",Canada,,,,,
699,Brandon Montour,"Brantford, ON",Canada,,,,,
700,Brandon Montour,"Brantford, ON",Canada,,,,,
701,John Moore,"Winnetka, IL",USA,,,,,
702,Trevor Moore,"Thousand Oaks, CA",USA,,,,,
703,Samuel Morin,"Lac-Beauport, QC",Canada,,,,,
704,Josh Morrissey,"Calgary, AB",Canada,,,,,
705,Joe Morrow,"Edmonton, AB",Canada,,,,,
706,Tyler Motte,"St. Clair, MI",USA,,,,,
707,Petr Mrazek,Ostrava,Czech Republic,,,,,
708,Mirco Mueller,Winterthur,Switzerland,,,,,
709,Connor Murphy,"Dublin, OH",USA,,,,,
710,Ryan Murphy,"Aurora, ON",Canada,,,,,
711,Ryan Murphy,"Aurora, ON",Canada,,,,,
712,Matt Murray,"Thunder Bay, ON",Canada,,,,,
713,Ryan Murray,"Regina, SK",Canada,,,,,
714,Jake Muzzin,"Woodstock, ON",Canada,,,,,
715,Jake Muzzin,"Woodstock, ON",Canada,,,,,
716,Philippe Myers,"Moncton, NB",Canada,,,,,
717,Tyler Myers,"Houston, TX",USA,,,,,
718,Tyler Myers,"Houston, TX",USA,,,,,
719,Vladislav Namestnikov,Zhukovskiy,Russia,,,,,
720,Riley Nash,"Consort, AB",Canada,,,,,
721,James Neal,"Whitby, ON",Canada,,,,,
722,Martin Necas,Nove Mesto na Morave,Czech Republic,,,,,
723,Alex Nedeljkovic,"Parma, OH",USA,,,,,
724,Brock Nelson,"Warroad, MN",USA,,,,,
725,Casey Nelson,"Stillwater, MN",USA,,,,,
726,Patrik Nemeth,Stockholm,Sweden,,,,,
727,Michal Neuvirth,Ústí nad Labem,Czech Republic,,,,,
728,Valeri Nichushkin,Chelyabinsk,Russia,,,,,
729,Nino Niederreiter,Chur,Switzerland,,,,,
730,Nino Niederreiter,Chur,Switzerland,,,,,
731,Frans Nielsen,Herning,Denmark,,,,,
732,Antti Niemi,Vantaa,Finland,,,,,
733,Matt Nieto,"Long Beach, CA",USA,,,,,
734,Cristoval Nieves,"Syracuse, NY",USA,,,,,
735,Sami Niku,Haapavesi,Finland,,,,,
736,Anders Nilsson,Lulea,Sweden,,,,,
737,Anders Nilsson,Lulea,Sweden,,,,,
738,Jacob Nilsson,Solvesborg,Sweden,,,,,
739,Matt Niskanen,"Virginia, MN",USA,,,,,
740,Stefan Noesen,"Plano, TX",USA,,,,,
741,Nelson Nogier,"Saskatoon, SK",Canada,,,,,
742,Jordan Nolan,"Garden River, ON",Canada,,,,,
743,Joakim Nordstrom,Stockholm,Sweden,,,,,
744,Tomas Nosek,Pardubice,Czech Republic,,,,,
745,Ryan Nugent-Hopkins,"Burnaby, BC",Canada,,,,,
746,Darnell Nurse,"Hamilton, ON",Canada,,,,,
747,Markus Nutivaara,Oulu,Finland,,,,,
748,Alex Nylander,"Calgary, AB",Canada,,,,,
749,William Nylander,"Calgary, AB",Canada,,,,,
750,Gustav Nyquist,Halmstad,Sweden,,,,,
751,Gustav Nyquist,Halmstad,Sweden,,,,,
752,Logan O'Connor,"Missouri City, TX",USA,,,,,
753,Jordan Oesterle,"Dearborn Heights, MI",USA,,,,,
754,Kyle Okposo,"St. Paul, MN",USA,,,,,
755,Jamie Oleksiak,"Toronto, ON",Canada,,,,,
756,Jamie Oleksiak,"Toronto, ON",Canada,,,,,
757,Victor Olofsson,Ornskoldsvik,Sweden,,,,,
758,Daniel O'Regan,Berlin,Germany,,,,,
759,Ryan O'Reilly,"Clinton, ON",Canada,,,,,
760,Dmitry Orlov,Novokuznetsk,Russia,,,,,
761,Brooks Orpik,"San Francisco, CA",USA,,,,,
762,T.J. Oshie,"Everett, WA",USA,,,,,
763,Xavier Ouellet,Bayonne,France,,,,,
764,Alex Ovechkin,Moscow,Russia,,,,,
765,Igor Ozhiganov,Krasnogorsk,Russia,,,,,
766,Magnus Paajarvi,Norrkoping,Sweden,,,,,
767,Max Pacioretty,"New Canaan, CT",USA,,,,,
768,Jean-Gabriel Pageau,"Ottawa, ON",Canada,,,,,
769,Ondrej Palat,Frydek-Mistek,Czech Republic,,,,,
770,Kyle Palmieri,"Smithtown, NY",USA,,,,,
771,Artemi Panarin,Korkino,Russia,,,,,
772,Richard Panik,Martin,Slovakia,,,,,
773,Cedric Paquette,"Gaspe, QC",Canada,,,,,
774,Colton Parayko,"St. Albert, AB",Canada,,,,,
775,Zach Parise,"Minneapolis, MN",USA,,,,,
776,Edward Pasquale,"Tornoto, ON",Canada,,,,,
777,David Pastrnak,Havirov,Czech Republic,,,,,
778,Greg Pateryn,"Sterling Heights, MI",USA,,,,,
779,Nolan Patrick,"Winnipeg, MB",Canada,,,,,
780,Nick Paul,"Mississauga, ON",Canada,,,,,
781,Joe Pavelski,"Plover, WI",USA,,,,,
782,Tanner Pearson,"Kitchener, ON",Canada,,,,,
783,Tanner Pearson,"Kitchener, ON",Canada,,,,,
784,Tanner Pearson,"Kitchener, ON",Canada,,,,,
785,Matthew Peca,"Petawawa, ON",Canada,,,,,
786,Adam Pelech,"Toronto, ON",Canada,,,,,
787,Anthony Peluso,"Barrie, ON",Canada,,,,,
788,Brendan Perlini,Guildford,GBR,,,,,
789,Brendan Perlini,Guildford,GBR,,,,,
790,Mathieu Perreault,"Drummondville, QC",Canada,,,,,
791,David Perron,"Sherbrooke, QC",Canada,,,,,
792,Corey Perry,"Peterborough, ON",Canada,,,,,
793,Brett Pesce,"Tarrytown, NY",USA,,,,,
794,Nicolas Petan,"Delta, BC",Canada,,,,,
795,Nicolas Petan,"Delta, BC",Canada,,,,,
796,Calvin Petersen,"Waterloo, IA",USA,,,,,
797,Alex Petrovic,"Edmonton, AB",Canada,,,,,
798,Alex Petrovic,"Edmonton, AB",Canada,,,,,
799,Jeff Petry,"Ann Arbor, MI",USA,,,,,
800,Elias Pettersson,Sundsvall,Sweden,,,,,
801,Marcus Pettersson,Skellefteå,Sweden,,,,,
802,Marcus Pettersson,Skellefteå,Sweden,,,,,
803,Dion Phaneuf,"Edmonton, AB",Canada,,,,,
804,Calvin Pickard,"Moncton, NB",Canada,,,,,
805,Calvin Pickard,"Moncton, NB",Canada,,,,,
806,Blake Pietila,"Milford, MI",USA,,,,,
807,Alex Pietrangelo,"King City, ON",Canada,,,,,
808,Lawrence Pilut,Tingsryd,Sweden,,,,,
809,Neal Pionk,"Omaha, NE",USA,,,,,
810,Brandon Pirri,"Toronto, ON",Canada,,,,,
811,Rem Pitlick,"Plymouth, MN",USA,,,,,
812,Tyler Pitlick,"Minneapolis, MN",USA,,,,,
813,Tomas Plekanec,Kladno,Czech Republic,,,,,
814,Ryan Poehling,"Lakeville, MN",USA,,,,,
815,Brayden Point,"Calgary, AB",Canada,,,,,
816,Roman Polak,Ostrava,Czech Republic,,,,,
817,Jason Pominville,"Repentigny, QC",Canada,,,,,
818,Derrick Pouliot,"Estevan, SK",Canada,,,,,
819,Carey Price,"Anahim Lake, BC",Canada,,,,,
820,Nate Prosser,"Elk River, MN",USA,,,,,
821,Dalton Prout,"Kingsville, ON",Canada,,,,,
822,Ivan Provorov,Yaroslavl,Russia,,,,,
823,Matt Puempel,"Essex, ON",Canada,,,,,
824,Jesse Puljujarvi,Alvkarleby,Sweden,,,,,
825,Ryan Pulock,"Dauphin, MB",Canada,,,,,
826,Tom Pyatt,"Thunder Bay, ON",Canada,,,,,
827,Mark Pysyk,"Sherwood Park, AB",Canada,,,,,
828,John Quenneville,"Edmonton, AB",Canada,,,,,
829,Jonathan Quick,"Milford, CT",USA,,,,,
830,Alan Quine,"Belleville, ON",Canada,,,,,
831,Antti Raanta,Rauma,Finland,,,,,
832,Lukas Radil,Caslav,Czceh Republic,,,,,
833,Alexander Radulov,Nizhny Tagil,Russia,,,,,
834,Brogan Rafferty,"Dundee, IL",USA,,,,,
835,Michael Raffl,Villach,Austria,,,,,
836,Rickard Rakell,Sundbyberg,Sweden,,,,,
837,Mikko Rantanen,Nousiainen,Finland,,,,,
838,Tuukka Rask,Savonlinna,Finland,,,,,
839,Victor Rask,Leksand,Sweden,,,,,
840,Victor Rask,Leksand,Sweden,,,,,
841,Michael Rasmussen,"Surrey, BC",Canada,,,,,
842,Ty Rattie,"Calgary, AB",Canada,,,,,
843,Kyle Rau,"Eden Prairie, MN",USA,,,,,
844,Matt Read,"Ilderton, ON",Canada,,,,,
845,Ryan Reaves,"Winnipeg, MB",Canada,,,,,
846,Mike Reilly,"Chicago, IL",USA,,,,,
847,James Reimer,"Morweena, MB",Canada,,,,,
848,Sam Reinhart,"West Vancouver, BC",Canada,,,,,
849,Sheldon Rempal,"Calgary, AB",Canada,,,,,
850,Anthony Richard,"Trois-Rivieres, QC",Canada,,,,,
851,Brad Richardson,"Belleville, ON",Canada,,,,,
852,Tobias Rieder,Landshut,Germany,,,,,
853,Morgan Rielly,"Vancouver, BC",Canada,,,,,
854,Juuso Riikola,Joensuu,Finland,,,,,
855,Zac Rinaldo,"Mississauga, ON",Canada,,,,,
856,Pekka Rinne,Kempele,Finland,,,,,
857,Rasmus Ristolainen,Turku,Finland,,,,,
858,Brett Ritchie,"Orangeville, ON",Canada,,,,,
859,Nick Ritchie,"Orangeville, ON",Canada,,,,,
860,David Rittich,Jihlava,Czech Republic,,,,,
861,Eric Robinson,"Bellmawr, NJ",USA,,,,,
862,Jack Rodewald,"Calgary, AB",Canada,,,,,
863,Evan Rodrigues,"Toronto, ON",Canada,,,,,
864,Kevin Rooney,"Canton, MA",USA,,,,,
865,Calle Rosen,Vaxjo,Sweden,,,,,
866,Jack Roslovic,"Columbus, OH",USA,,,,,
867,Antoine Roussel,Roubaix,France,,,,,
868,Carter Rowney,"Grande Prairie, AB",Canada,,,,,
869,Kevin Roy,"Greenfield Park, QC",Canada,,,,,
870,Matt Roy,"Detroit, MI",USA,,,,,
871,Nicolas Roy,"Amos, QC",Canada,,,,,
872,Chad Ruhwedel,"San Diego, CA",USA,,,,,
873,Kris Russell,"Caroline, AB",Canada,,,,,
874,Patrick Russell,Holte,Denmark,,,,,
875,Bryan Rust,"Pontiac, MI",USA,,,,,
876,Jan Rutta,Pisek,Czech Republic,,,,,
877,Jan Rutta,Pisek,Czech Republic,,,,,
878,Bobby Ryan,"Cherry Hill, NJ",USA,,,,,
879,Derek Ryan,"Spokane, WA",USA,,,,,
880,Joakim Ryan,"Rumson, NJ",USA,,,,,
881,Kerby Rychel,"Torrance, CA",USA,,,,,
882,Brandon Saad,"Pittsburgh, PA",USA,,,,,
883,Miikka Salomaki,Raahe,Finland,,,,,
884,Zach Sanford,"Salem, MA",USA,,,,,
885,Travis Sanheim,"Elkhorn, MB",Canada,,,,,
886,Steven Santini,"Bronxville, NY",USA,,,,,
887,Juuse Saros,Forssa,Finland,,,,,
888,Ashton Sautner,"Flaxcombe, SK",Canada,,,,,
889,David Savard,"St. Hyacinthe, QC",Canada,,,,,
890,Luca Sbisa,Ozieri,Italy,,,,,
891,Marco Scandella,"Montreal, QC",Canada,,,,,
892,Colton Sceviour,"Red Deer, AB",Canada,,,,,
893,Tim Schaller,"Merrimack, NH",USA,,,,,
894,Mark Scheifele,"Kitchener, ON",Canada,,,,,
895,Brayden Schenn,"Saskatoon, SK",Canada,,,,,
896,Luke Schenn,"Saskatoon, SK",Canada,,,,,
897,Luke Schenn,"Saskatoon, SK",Canada,,,,,
898,Nikita Scherbak,Moscow,Russia,,,,,
899,Cameron Schilling,"Carmel, IN",USA,,,,,
900,David Schlemko,"Edmonton, AB",Canada,,,,,
901,Jordan Schmaltz,"Madison, WI",USA,,,,,
902,Nick Schmaltz,"Madison, WI",USA,,,,,
903,Nick Schmaltz,"Madison, WI",USA,,,,,
904,Nate Schmidt,"St. Cloud, MN",USA,,,,,
905,Cory Schneider,"Marblehead, MA",USA,,,,,
906,Jimmy Schuldt,"Minnetonka, MN",USA,,,,,
907,Justin Schultz,"Kelowna, BC",Canada,,,,,
908,Jaden Schwartz,"Wilcox, SK",Canada,,,,,
909,Brent Seabrook,"Richmond, BC",Canada,,,,,
910,Lukas Sedlak,Ceské Budejovice,Czech Republic,,,,,
911,Nick Seeler,"Eden Prairie, MN",USA,,,,,
912,Tyler Seguin,"Brampton, ON",Canada,,,,,
913,Andrej Sekera,Bojnice,Slovakia,,,,,
914,Brett Seney,"London, ON",Canada,,,,,
915,Zach Senyshyn,"Ottawa, ON",Canada,,,,,
916,Mikhail Sergachev,Nizhnekamsk,Russia,,,,,
917,Damon Severson,"Melville, SK",Canada,,,,,
918,Kevin Shattenkirk,"New Rochelle, NY",USA,,,,,
919,Andrew Shaw,"Belleville, ON",Canada,,,,,
920,Riley Sheahan,"St. Catharines, ON",Canada,,,,,
921,Riley Sheahan,"St. Catharines, ON",Canada,,,,,
922,Conor Sheary,"Winchester, MA",USA,,,,,
923,Kiefer Sherwood,"Columbus, OH",USA,,,,,
924,Kiefer Sherwood,"Columbus, OH",USA,,,,,
925,Kole Sherwood,"New Albany, OH",USA,,,,,
926,Devin Shore,"Ajax, ON",Canada,,,,,
927,Devin Shore,"Ajax, ON",Canada,,,,,
928,Jonas Siegenthaler,Zurich,Switzerland,,,,,
929,Dylan Sikura,"Aurora, ON",Canada,,,,,
930,Jakob Silfverberg,Gävle,Sweden,,,,,
931,Radim Simek,Mlada Boleslav,Czech Republic,,,,,
932,Wayne Simmonds,"Scarborough, ON",Canada,,,,,
933,Wayne Simmonds,"Scarborough, ON",Canada,,,,,
934,Dominik Simon,Prague,Czech Republic,,,,,
935,Colton Sissons,"North Vancouver, BC",Canada,,,,,
936,Jeff Skinner,"Toronto, ON",Canada,,,,,
937,Brady Skjei,"Lakeville, MN",USA,,,,,
938,Jaccob Slavin,"Denver, CO",USA,,,,,
939,Brendan Smith,"Mimico, ON",Canada,,,,,
940,C.J. Smith,"Des Moines, IA",USA,,,,,
941,Craig Smith,"Madison, WI",USA,,,,,
942,Gemel Smith,"Toronto, ON",Canada,,,,,
943,Gemel Smith,"Toronto, ON",Canada,,,,,
944,Mike Smith,"Kingston, ON",Canada,,,,,
945,Reilly Smith,"Mimico, ON",Canada,,,,,
946,Zack Smith,"Maple Creek, SK",Canada,,,,,
947,Devante Smith-Pelly,"Scarborough, ON",Canada,,,,,
948,Vladimir Sobotka,Trebic,Czech Republic,,,,,
949,Carl Soderberg,Malmö,Sweden,,,,,
950,Marcus Sorensen,Sodertalje,Sweden,,,,,
951,Nikita Soshnikov,Nizhny Tagil,Russia,,,,,
952,Garret Sparks,"Elmhurst, IL",USA,,,,,
953,Jason Spezza,"Toronto, ON",Canada,,,,,
954,Ryan Spooner,"Ottawa, ON",Canada,,,,,
955,Ryan Spooner,"Ottawa, ON",Canada,,,,,
956,Ryan Spooner,"Ottawa, ON",Canada,,,,,
957,Daniel Sprong,Amsterdam,Netherlands,,,,,
958,Daniel Sprong,Amsterdam,Netherlands,,,,,
959,Jared Spurgeon,"Edmonton, AB",Canada,,,,,
