,name,college,lat,lng
108,Greg Anthony,"University of Nevada, Las Vegas",36.1085197,-115.1431709
109,Joel Anthony,"University of Nevada, Las Vegas",36.1085197,-115.1431709
111,OG Anunoby,Indiana University,39.1754487,-86.512627
112,Keith Appling,Michigan State University,42.701848,-84.4821719
113,Rafael Araujo,Brigham Young University,40.2518435,-111.6493156
114,Stacey Arceneaux,Iowa State University,42.0266187,-93.6464654
115,Robert Archibald,University of Illinois at Urbana-Champaign,40.1019523,-88.2271615
116,Tiny Archibald,University of Texas at El Paso,31.7709368,-106.5046405
117,Ryan Arcidiacono,Villanova University,40.0378952,-75.34333149999999
118,Jim Ard,University of Cincinnati,39.1329219,-84.51495039999999
119,Gilbert Arenas,University of Arizona,32.2318851,-110.9501094
120,Trevor Ariza,"University of California, Los Angeles",34.068921,-118.4451811
121,Paul Arizin,Villanova University,40.0378952,-75.34333149999999
122,Joe Arlauckas,Niagara University,43.1369816,-79.0349955
123,B.J. Armstrong,University of Iowa,41.6626963,-91.5548998
124,Bob Armstrong,Michigan State University,42.701848,-84.4821719
125,Brandon Armstrong,Pepperdine University,34.0414045,-118.7095814
126,Curly Armstrong,Indiana University,39.1754487,-86.512627
127,Darrell Armstrong,Fayetteville State University,35.0742206,-78.8924896
128,Hilton Armstrong,University of Connecticut,41.8077414,-72.2539805
129,Tate Armstrong,Duke University,36.0014258,-78.9382286
130,Jesse Arnelle,Pennsylvania State University,40.7982133,-77.8599084
131,Jay Arnette,University of Texas at Austin,30.2849185,-97.7340567
132,Bob Arnzen,University of Notre Dame,41.7055716,-86.2353388
133,Carlos Arroyo,Florida International University,25.7561275,-80.3768786
134,Darrell Arthur,University of Kansas,38.9543439,-95.2557961
135,John Arthurs,Tulane University,29.9407282,-90.12031669999999
136,Jamel Artis,University of Pittsburgh,40.4443533,-79.960835
138,Vincent Askew,University of Memphis,35.1187498,-89.9374928
139,Keith Askins,University of Alabama,33.2140233,-87.5391418
140,Don Asmonga,Alliance College,34.0507015,-118.2594614
141,Dick Atha,Indiana State University,39.4714449,-87.40827519999999
142,Chucky Atkins,University of South Florida,28.0587031,-82.41385389999999
143,Al Attles,North Carolina Agricultural and Technical State University,36.0770034,-79.7718199
144,Chet Aubuchon,Michigan State University,42.701848,-84.4821719
145,Stacey Augmon,"University of Nevada, Las Vegas",36.1085197,-115.1431709
146,D.J. Augustin,University of Texas at Austin,30.2849185,-97.7340567
147,James Augustine,University of Illinois at Urbana-Champaign,40.1019523,-88.2271615
148,Isaac Austin,Arizona State University,33.4242399,-111.9280527
149,Johnny Austin,Boston College,42.3355488,-71.16849450000001
150,Ken Austin,Rice University,29.7173941,-95.40183119999999
151,Anthony Avent,Seton Hall University,40.7433773,-74.2465446
152,Bird Averitt,Pepperdine University,34.0414045,-118.7095814
153,William Avery,Duke University,36.0014258,-78.9382286
154,Dennis Awtrey,Santa Clara University,37.3496418,-121.9389875
156,Jeff Ayres,Arizona State University,33.4242399,-111.9280527
157,Kelenna Azubuike,University of Kentucky,38.0306511,-84.5039697
158,Chris Babb,Iowa State University,42.0266187,-93.6464654
159,Luke Babbitt,"University of Nevada, Reno",39.5441917,-119.816397
160,Milos Babic,Tennessee Technological University,36.1757592,-85.5086374
161,Johnny Bach,Fordham University,40.8620404,-73.88569869999999
162,Dwayne Bacon,Florida State University,30.4418778,-84.2984889
163,Henry Bacon,University of Louisville,38.2122761,-85.75850229999999
164,Jim Baechtold,Eastern Kentucky University,37.7353214,-84.298672
166,John Bagley,Boston College,42.3355488,-71.16849450000001
167,Carl Bailey,Tuskegee University,32.4307809,-85.7073277
168,Gus Bailey,University of Texas at El Paso,31.7709368,-106.5046405
169,James Bailey,Rutgers University,40.5008186,-74.44739910000001
170,Thurl Bailey,North Carolina State University,35.7846633,-78.6820946
171,Toby Bailey,"University of California, Los Angeles",34.068921,-118.4451811
172,Cameron Bairstow,University of New Mexico,35.0843187,-106.6197812
173,Jimmie Baker,University of Hawaii,21.296939,-157.8171118
174,LaMark Baker,Ohio State University,40.0068363,-83.0306222
175,Maurice Baker,Oklahoma State University,36.1270236,-97.07372219999999
177,Ron Baker,Wichita State University,37.7186367,-97.29414140000002
178,Vin Baker,University of Hartford,41.7984508,-72.7137664
179,Wade Baldwin,Vanderbilt University,36.1447034,-86.8026551
180,Renaldo Balkman,University of South Carolina,33.9937575,-81.0299186
181,Cedric Ball,University of North Carolina at Charlotte,35.3070929,-80.735164
182,Lonzo Ball,"University of California, Los Angeles",34.068921,-118.4451811
183,Greg Ballard,University of Oregon,44.0448302,-123.0726055
184,Herschel Baltimore,Pennsylvania State University,40.7982133,-77.8599084
185,Gene Banks,Duke University,36.0014258,-78.9382286
186,Marcus Banks,"University of Nevada, Las Vegas",36.1085197,-115.1431709
187,Walker Banks,Western Kentucky University,36.983537,-86.4573752
188,Ken Bannister,Saint Augustine's College,35.7876962,-78.6188766
189,Mike Bantom,Saint Joseph's University,39.9951217,-75.23993279999999
190,John Barber,"California State University, Los Angeles",34.0667698,-118.1684392
192,Steve Bardo,University of Illinois at Urbana-Champaign,40.1019523,-88.2271615
193,J.J. Barea,Northeastern University,42.3398067,-71.0891717
195,Cliff Barker,University of Kentucky,38.0306511,-84.5039697
196,Tom Barker,University of Hawaii,21.296939,-157.8171118
197,Charles Barkley,Auburn University,32.5933574,-85.4951663
198,Erick Barkley,St. John's University,40.7220627,-73.79421119999999
199,Don Barksdale,"University of California, Los Angeles",34.068921,-118.4451811
200,Harrison Barnes,University of North Carolina,35.9049122,-79.0469134
201,Harry Barnes,Northeastern University,42.3398067,-71.0891717
202,Jim Barnes,University of Texas at El Paso,31.7709368,-106.5046405
203,Marvin Barnes,Providence College,41.8440925,-71.4381653
204,Matt Barnes,"University of California, Los Angeles",34.068921,-118.4451811
205,Dick Barnett,Tennessee State University,36.1668224,-86.8275815
206,Jim Barnett,University of Oregon,44.0448302,-123.0726055
207,Nathaniel Barnett,University of Akron,41.0770227,-81.5114462
208,John Barnhill,Tennessee State University,36.1668224,-86.8275815
209,Norton Barnhill,Washington State University,46.7319225,-117.1542121
210,Leo Barnhorst,University of Notre Dame,41.7055716,-86.2353388
211,John Barr,Pennsylvania State University,40.7982133,-77.8599084
212,Mike Barr,Duquesne University,40.4367914,-79.989232
213,Moe Barr,Duquesne University,40.4367914,-79.989232
214,Andre Barrett,Seton Hall University,40.7433773,-74.2465446
215,Ernie Barrett,Kansas State University,39.1974437,-96.5847249
216,Mike Barrett,West Virginia University Institute of Technology,37.7764405,-81.1838025
217,Earl Barron,University of Memphis,35.1187498,-89.9374928
218,Dana Barros,Boston College,42.3355488,-71.16849450000001
219,Brent Barry,Oregon State University,44.5637806,-123.2794443
220,Drew Barry,Georgia Institute of Technology,33.7756178,-84.39628499999999
221,Jon Barry,Georgia Institute of Technology,33.7756178,-84.39628499999999
222,Rick Barry,University of Miami,25.7178924,-80.2746368
223,Ed Bartels,North Carolina State University,35.7846633,-78.6820946
224,Vic Bartolome,Oregon State University,44.5637806,-123.2794443
225,Will Barton,University of Memphis,35.1187498,-89.9374928
226,Eddie Basden,University of North Carolina at Charlotte,35.3070929,-80.735164
227,Jerry Baskerville,Temple University,39.9805942,-75.1557376
228,Brandon Bass,Louisiana State University,30.4132579,-91.1800023
229,Tim Bassett,University of Georgia,33.9480053,-83.3773221
230,Maceo Baston,University of Michigan,42.2780436,-83.7382241
232,Billy Ray Bates,Kentucky State University,38.2003336,-84.8558017
234,Mike Batiste,Arizona State University,33.4242399,-111.9280527
235,Tony Battie,Texas Tech University,33.5842591,-101.8782822
236,Shane Battier,Duke University,36.0014258,-78.9382286
237,John Battle,Rutgers University,40.5008186,-74.44739910000001
238,Kenny Battle,University of Illinois at Urbana-Champaign,40.1019523,-88.2271615
239,Dave Batton,University of Notre Dame,41.7055716,-86.2353388
240,Lloyd Batts,University of Cincinnati,39.1329219,-84.51495039999999
242,Johnny Baum,Temple University,39.9805942,-75.1557376
243,Frankie Baumholtz,Ohio University,39.324358,-82.10138889999999
244,Lonny Baxter,University of Maryland,38.9869183,-76.9425543
245,Jerryd Bayless,University of Arizona,32.2318851,-110.9501094
246,Elgin Baylor,Seattle University,47.6091765,-122.3178465
247,Howard Bayne,University of Tennessee,35.9544013,-83.92945639999999
248,Aron Baynes,Washington State University,46.7319225,-117.1542121
250,Kent Bazemore,Old Dominion University,36.8841106,-76.304239
251,Ed Beach,West Virginia University,39.6480359,-79.9697147
252,Bradley Beal,University of Florida,29.6436325,-82.3549302
253,Al Beard,Norfolk State University,36.8480161,-76.262085
254,Butch Beard,University of Louisville,38.2122761,-85.75850229999999
255,Ralph Beard,University of Kentucky,38.0306511,-84.5039697
256,Charles Beasley,Southern Methodist University,32.8412178,-96.78451749999999
257,Jerome Beasley,University of North Dakota,47.922891,-97.0768014
258,John Beasley,Texas A&M University,30.6187558,-96.33647719999999
259,Malik Beasley,Florida State University,30.4418778,-84.2984889
260,Michael Beasley,Kansas State University,39.1974437,-96.5847249
261,Zelmo Beaty,Prairie View A&M University,30.0939175,-95.98989639999999
263,Byron Beck,University of Denver,39.6766174,-104.9618965
264,Corey Beck,University of Arkansas,36.0686895,-94.1748471
265,Ernie Beck,University of Pennsylvania,39.9522188,-75.1932137
266,Arthur Becker,Arizona State University,33.4242399,-111.9280527
267,Moe Becker,Duquesne University,40.4367914,-79.989232
268,Bob Bedell,Stanford University,37.4274745,-122.169719
269,William Bedford,University of Memphis,35.1187498,-89.9374928
270,Hank Beenders,Long Island University,40.6912319,-73.98106589999999
271,Ron Behagen,University of Minnesota,44.97399,-93.2277285
272,Elmer Behnke,Bradley University,40.6977743,-89.6153484
274,Charlie Bell,Michigan State University,42.701848,-84.4821719
275,Dennis Bell,Drake University,41.60125130000001,-93.65467079999999
276,Jordan Bell,University of Oregon,44.0448302,-123.0726055
277,Raja Bell,Florida International University,25.7561275,-80.3768786
278,Troy Bell,Boston College,42.3355488,-71.16849450000001
